, К А Л Е Н Д А Р Ь     П О Л И В А     Ц В Е Т О В ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Название цветка,        И Ю Л Ь ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
   Б А Р ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алоэ ежовое,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гастерия килеватая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кофейное дерево Аравийский,,,,,август,,,,,,,,,,,,,,,,,,,,,,,,,,
Пилея пеперомиевидная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Сансевиерия трёхполосная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Толстянка ""Голлум""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хавортия лимолистная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Э Т А Ж    1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аглаонема,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Традесканция белая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Традесканция приречная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Традесканция фиолетовая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Фикус Бенджамина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Эухарис амазонский,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Э Т А Ж    2  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гибискус китайский,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Декабрист,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Драцена,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кодеум,,,,,,,,,,,,,,,,,,,,,,вечер,,,,,,,,,
Лимонное дерево,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аптения сердцелистная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рео,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Филодендрон,,,,,,,,,,,,,,,,,,,,,,,,,вечер,,,,,вечер,
Эпипремнум,,,,,,,,,,,,,,,,,,,,,,,,,вечер,,,,,вечер,
Диффенбахия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Драцена,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Молочай гребенчатый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Монстера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Фикус,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пальма Арека,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  К Л У М Б А,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Цветы в клумбе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
