record_key,source_file,source_mtime,source_size_bytes,source_hash,report_type,status,first_seen_at,last_seen_at,last_processed_at,card_path,bot_card_path,error
knowledge-base/Разное/Остатки по складам 13.03.2026 - Комментарии к заявке.csv|975|1776271795|87c08fe7fbcc,knowledge-base/Разное/Остатки по складам 13.03.2026 - Комментарии к заявке.csv,2026-04-15 19:49:55,975,87c08fe7fbcc9666abfce9df91d5775b762a5459,comment,duplicate,2026-04-15 20:29:14,2026-04-15 20:29:36,2026-04-15 20:29:14,PACK-warehouse/02-domain-entities/report-cards/WH.CARD.остатки-по-складам-13-03-2026-комментарии-к-заявке-a340cde8.md,knowledge-base/Отчёты для бота/Склад/WH.BOT.остатки-по-складам-13-03-2026-комментарии-к-заявке-a340cde8.md,
knowledge-base/Разное/Остатки по складам 13.03.2026 - Склад.csv|4007|1776271794|7e5945d24feb,knowledge-base/Разное/Остатки по складам 13.03.2026 - Склад.csv,2026-04-15 19:49:54,4007,7e5945d24feb4d459fe7a9f24720417343f9c2a2,stock,duplicate,2026-04-15 20:29:14,2026-04-15 20:29:36,2026-04-15 20:29:14,PACK-warehouse/02-domain-entities/report-cards/WH.CARD.остатки-по-складам-13-03-2026-склад-4bde4d55.md,knowledge-base/Отчёты для бота/Склад/WH.BOT.остатки-по-складам-13-03-2026-склад-4bde4d55.md,
knowledge-base/Разное/Отчет по инвентаризации - Банк.csv|1687|1776271779|77a61f36b111,knowledge-base/Разное/Отчет по инвентаризации - Банк.csv,2026-04-15 19:49:39,1687,77a61f36b111f25f0d68719e2798bbbae4276bdf,inventory,duplicate,2026-04-15 20:29:14,2026-04-15 20:29:36,2026-04-15 20:29:14,PACK-warehouse/02-domain-entities/report-cards/WH.CARD.отчет-по-инвентаризации-банк-180660d2.md,knowledge-base/Отчёты для бота/Склад/WH.BOT.отчет-по-инвентаризации-банк-180660d2.md,
knowledge-base/Разное/Отчет по инвентаризации - Инфо.csv|4291|1776271778|7ead8236a8a4,knowledge-base/Разное/Отчет по инвентаризации - Инфо.csv,2026-04-15 19:49:38,4291,7ead8236a8a4a86f48e66f6b5904b3274eb9ee0c,inventory,duplicate,2026-04-15 20:29:14,2026-04-15 20:29:36,2026-04-15 20:29:14,PACK-warehouse/02-domain-entities/report-cards/WH.CARD.отчет-по-инвентаризации-инфо-38ef734d.md,knowledge-base/Отчёты для бота/Склад/WH.BOT.отчет-по-инвентаризации-инфо-38ef734d.md,
knowledge-base/Разное/Отчет по инвентаризации - Луговая.csv|1044|1776271777|b02b86fcfad0,knowledge-base/Разное/Отчет по инвентаризации - Луговая.csv,2026-04-15 19:49:37,1044,b02b86fcfad013fd871932cba96dcb0e1c05b96f,inventory,duplicate,2026-04-15 20:29:14,2026-04-15 20:29:36,2026-04-15 20:29:14,PACK-warehouse/02-domain-entities/report-cards/WH.CARD.отчет-по-инвентаризации-луговая-f2fa35ae.md,knowledge-base/Отчёты для бота/Склад/WH.BOT.отчет-по-инвентаризации-луговая-f2fa35ae.md,
knowledge-base/Разное/Отчет по инвентаризации - Самокиша .csv|1180|1776271707|244ccd61aab6,knowledge-base/Разное/Отчет по инвентаризации - Самокиша .csv,2026-04-15 19:48:27,1180,244ccd61aab63f0578670d56a0b4ebf9f5511406,inventory,duplicate,2026-04-15 20:29:14,2026-04-15 20:29:36,2026-04-15 20:29:14,PACK-warehouse/02-domain-entities/report-cards/WH.CARD.отчет-по-инвентаризации-самокиша-a3422f4a.md,knowledge-base/Отчёты для бота/Склад/WH.BOT.отчет-по-инвентаризации-самокиша-a3422f4a.md,
knowledge-base/Разное/Отчет по инвентаризации - Самокиша.csv|965|1776271778|e46b9c6ec621,knowledge-base/Разное/Отчет по инвентаризации - Самокиша.csv,2026-04-15 19:49:38,965,e46b9c6ec621a7a74aea92d5260e484942afb15a,inventory,duplicate,2026-04-15 20:29:14,2026-04-15 20:29:36,2026-04-15 20:29:14,PACK-warehouse/02-domain-entities/report-cards/WH.CARD.отчет-по-инвентаризации-самокиша-328d54b7.md,knowledge-base/Отчёты для бота/Склад/WH.BOT.отчет-по-инвентаризации-самокиша-328d54b7.md,
knowledge-base/Разное/Отчет по инвентаризации - Тургенева .csv|1498|1776271707|a2a769a4a648,knowledge-base/Разное/Отчет по инвентаризации - Тургенева .csv,2026-04-15 19:48:27,1498,a2a769a4a6486ebc024f2e92a47f1175c23664d2,inventory,duplicate,2026-04-15 20:29:14,2026-04-15 20:29:36,2026-04-15 20:29:14,PACK-warehouse/02-domain-entities/report-cards/WH.CARD.отчет-по-инвентаризации-тургенева-b431aa25.md,knowledge-base/Отчёты для бота/Склад/WH.BOT.отчет-по-инвентаризации-тургенева-b431aa25.md,
knowledge-base/Разное/Отчет по инвентаризации - Тургенева.csv|1498|1776271776|a2a769a4a648,knowledge-base/Разное/Отчет по инвентаризации - Тургенева.csv,2026-04-15 19:49:36,1498,a2a769a4a6486ebc024f2e92a47f1175c23664d2,inventory,duplicate,2026-04-15 20:29:14,2026-04-15 20:29:36,2026-04-15 20:29:14,PACK-warehouse/02-domain-entities/report-cards/WH.CARD.отчет-по-инвентаризации-тургенева-92bbace4.md,knowledge-base/Отчёты для бота/Склад/WH.BOT.отчет-по-инвентаризации-тургенева-92bbace4.md,
knowledge-base/Разное/Отчет по инвентаризации - Учет закупа хоз.товаров.csv|199|1776271779|9fce96c0f7e6,knowledge-base/Разное/Отчет по инвентаризации - Учет закупа хоз.товаров.csv,2026-04-15 19:49:39,199,9fce96c0f7e6b151a92f3b8beb0a1c6cbe95c31e,inventory,duplicate,2026-04-15 20:29:14,2026-04-15 20:29:36,2026-04-15 20:29:14,PACK-warehouse/02-domain-entities/report-cards/WH.CARD.отчет-по-инвентаризации-учет-закупа-хоз-товаров-bec4bf0f.md,knowledge-base/Отчёты для бота/Склад/WH.BOT.отчет-по-инвентаризации-учет-закупа-хоз-товаров-bec4bf0f.md,
