   НЕ  КОФЕ,   Н Е    К О Ф Е
,Какао / Какао альт.,,,,Горячий шоколад
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Какао Ristora,15,гр,,Какао Ristora,24,гр
,Молоко / Молоко альт.,260,гр,,Молоко,140,гр
,выход,275,гр,,выход,164,гр

,Какао – это молочный напиток с добавлением итальянского шоколада. Какао мы готовим в одном размере 350 мл. ,,,,"Горячий шоколад – это молочный напиток, насыщенный на основе тертого шоколада. Готовим в стакане 250 мл, по структуре очень плотный, как такая жидкая сметана"

,Матча / Матча альт,,,,Какао / Горячий шоколад CACAVA
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Матча,4,гр,,CACAVA на чашку,20,гр
,Молоко / Альт. молоко,300,гр,,Молоко,200,гр
,выход,304,гр,,выход,220,гр

,"Матча – это китайский мелко перетертый чай, который готовится с молоком. Мы можем приготовить его как на классическом, так и на альтернативном молоке. ",,,,Какао от CACAVA – это альтернативный вид молочнго напитка с добавлением какао от CACAVA. Какао мы готовим в одном размере 350 мл.
