Наименование,Цена,,Наименование,Цена,,Наименование,Цена,,Наименование,Цена
 Холодные напитки,,, Чай,,, КОФЕ,,, НЕ кофе,
Айс Ти,37,,Чай Апельсин,54,,Американо,36,,Горячий шоколад CACAVA в стакан ,180
Апельсиновый чай Айс,46,,Чай Глинтвейн,52,,Большой американо,62,,Какао ,54
Клюквенный чай Айс,31,,Чай Клюква,37,,,,,Какао альт. молоко,75
Облепиховый чай Айс,31,,Чай Облепиха,37,,Капучино,56,,Матча,49
Глинтвейн чай Айс,47,,,,,Большой Капучино,92,,Матча альт. ,72
,,,,,,Латте,71,,Нутелла Б,86
Американо Айс М,61,,,,,Флетуайт,80,,Горячий шоколад ,48
Капуч Альт Холод,112,,,,,Кедровый М,70,,,
Латте Айс,89,,,,,Кедровый Б,97,,,
Латте Айс Декаф,87,,,,,Раф,121,,,
Хорнет,95,,,,,Горячий Хорнет,129,,,
Хорнет Б,116,,,,,Кофе СССР,113,,,
Хорнет на фреше,132,,,,,,,,,
Эспрессо тоник лайм,64,,,,, Альт. молоко,,,,
Эспрессо тоник лайм Б,100,,,,,Американо альт М,46,,,
Эспрессо тоник сироп,71,,,,,Американо альт Б,71,,,
Эспрессо тоник сироп Б,103,,,,,Капучино альт М,71,,,
,,,,,,Капучино альт б,115,,,
Лимонад,60,,,,,Латте альт.,95,,,
Матча Айс,37,,,,,Флетуайт альт. ,90,,,
Матчай Айс альт.,52,,,,,,,,,
Молочный коктейль,47,,,,, Декаф,,,,
Мохито,50,,,,,Американо декаф Б,58,,,
Фреш,87,,,,,Американо декаф М,35,,,
,,,,,,Доппио декаф,54,,,
Смузи Клубника банан,85,,,,,Капучино декаф М,55,,,
Смузи Желтый,84,,,,,Капучино декаф Б,88,,,
Смузи Зеленый,58,,,,,Капучино декаф альт. М,69,,,
Смузи Красный,110,,,,,Капучино декаф альт. Б,111,,,
,,,,,,Латте декаф,70,,,
,,,,,,Латте декаф альт. ,92,,,
,,,,,,Раф декаф,116,,,
,,,,,,Флетуайт декаф,75,,,
