,Наименование позиции,Состав,Цена
,,,Розничная,Себестоим. / скидка на кассе для персонала
Батончики,Батончик ПП,,160₽,"120,00 / 25%"
,Батончик Fitckake (актуально для Тургенева),,130₽,"83,00 / 36%"

Кексы,Кекс Творожный ,"Творожная масса, вишневое повидло",120₽,"45,00 / 62,5%"
,"Шоколадный маффин
(пробивается как позиция Кекс творожный)",,100₽,"45,00 / 55%"

Выпечка Вячеслав (трубочки/орешки/ сосиска в тесте),Кекс творожный,"Кекс творожный с клюквой: творог, мука, сахар, яйца, слив.масло, сметана, вяленая клюква

Кекс творожный с конфитюром: песочная основа, конфитюр черная смородина, творожная начинка (творог, сметана, сахар, яйца) 

Срок: 72 часа",130₽,"80,00 / 38,4%"
,Маффин шоколадный ,"Мука, сахар, яйца, сливочноое масло, молоко, какао алкализованный, капли шоколадные",140₽,"100,00 / 28,5%"
,Маковый пирог,"Песочная основа, начинка творог, сахар, сметана, яйца, мак с патокой
выход: 1,8 кг",240₽,"165,00 / 31,2%"
,Булочка с корицей,"Тесто дрожжевое: мука, яйца, сахар, соль, молоко, маргарин, дрожжи, ванилин
корица молотая, сливочное масло, сахар",75₽,"50,00 / 33,3%"
,Булочка с Абрикосом,"Тесто дрожжевое: мука, яйца, сахар, соль, молоко, маргарин, дрожжи, ванилин
Конфитюр абрикос",90₽,"50,00 / 44,4%"
,Булочка с Вишней,"Тесто дрожжевое: мука, яйца, сахар, соль, молоко, маргарин, дрожжи, ванилин
Конфитюр вишневый "
,Киш с курицей и грибами,"Филе куриное, грибы шампиньоны, помидор, молоко, сметана, сыр моцарелла, яйцо
выход: 200 гр","220₽
","150,00 / 31,8%"
,Орешки с вареной сгущенкой,"Песочное тесто, вареное сгущенное молоко собственного производства",190₽,"85,00 / 55,2%"
,Трубочка с вареной сгущенкой,"Вафля, вареное сгущенное молоко собственного производства",175₽,"90,00 / 48,5%"
,Сосиска в тесте,Сосиска куриная-говяжая,135₽,"75,00 / 44,4%"

"Шоколадные 
корпусные батончики","Шоколадная конфета Батончик 
(актуально для Тургенева)","Розовый-малиновый йогурт (ганаш на основе белого шоколада, сливок и малинового пюре. Начинка малина",150₽,"100,00 / 33,3%"
"



Десерты 
(от Дмитрия)

",Макарон ,"• Желтый – манго с маракуей
• Белый – шоколад с фундучным пралине
• Оранжевый – апельсин с шоколадом
• Зеленый - фисташка 
• Розовый – малина с ванилью
• Голубой – груша с горгонзола (сыр с плесенью)
• Красный – клубника с базиликом 

Состав макарон: 
тесто: миндальная мука, яичный белок, сахар, краситель.",180₽,"120,00 / 33,3%"
,Моти,"Основа - рисовая мука, творожный сыр, фруктовое пюре. 
Отличие по цветам: 
• Розовый - с клубникой (в меру сладкий во вкусе, как йогуртовый)
• Фиолетовый - со смородиной (немного с кислинкой во вкусе)
• Оранжевый - с манго-маракуйя (в меру сладкий во вкусе)
• Желтый - с лимон-ананас (сладкий во вкусе с кусочком ананаса и маком внутри)
• Коричневый - кофе с шоколадом (сладкий во вкусе, с кусочком шоколада внутри)
• Зелёный - фисташка с малиной  (с кислинкой во вкусе)
• Белый - с кокосом внутри  (в меру сладкий и плотный засчет кокосовой стружки)
• Голубой - с лаймом и мятой (с кислинкой во вкусе, самый кислый из всех что есть из ассортимента)
• Сине-голубой - груша с горгонзолой (сыр с плесенью)
• Светло-зеленый - банан с карамелью (пюре банана, творожный сыр, сливки, белый шоколад и карамель)
• Красный - шоколад с вишней 
• Светло-розовый - бабл гам (сироп ""бабл гам"", творожный сыр, сливки, белый шоколад)",220₽,"145,00 / 34%"
,Вупи пай ,"Печенье из сливочного масла, муки, сахара, какао, яиц.
Начинка - сливочное масло, творожный сыр, сметана, Сахарная пудра. Сверху покрыто шоколадной Глазурью",250₽,"145,00 / 42%"
,Меренговый рулет Ягодный,Основа – рулет из белка и сахара. Начинка – крем чиз с ягодной прослойкой. ,350₽,"215,00 / 38,5%"
,Меренговый рулет Шоколадный ,"Основа – рулет взбитый из белка с сахаром. Начинка – крем тёмный шоколад, сливки, творожный сыр, рубленый грецкий орех",350₽,"215,00 / 38,5%"
,Муравейник,"Песочное тесто, сгущенное молоко (вареное и белое)",250₽,"145,00 / 42%"
,Пирожное Шу,"Тесто заварное, сверху кракелин. Крем – заварной на молоке и яичных желтках, сливки, ваниль, сахар, сливочное масло",220₽,"145,00 / 34%"
