у,Наименование позиции,Состав,Цена
,,,Розничная,Себестоим. / скидка на кассе для персонала
Кексы,Кекс Творожный ,"Творожная масса, вишневое повидло",120₽,"45,00 / 62,5%"
,"Шоколадный маффин
(пробивается как позиция Кекс творожный)",,100₽,"45,00 / 55%"

"Шеф умами (гречка, соба, рис, удон)",Гречка курица су-вид пять Грибов ,"Гречка, куриное филе, белый гриб, лисички, шиитаке, подосиновики, маслята, ореховый соус, грибной соус, лук фри, трюфельное масло, укроп, сушеный чеснок",375₽,"290,00 ₽"
,Соба курица су-вид помидор,"Соба, куриное филе, помидор, зеленый базилик
Соус (соевый / ореховый / грибной / анчоусный / устричный / вочестер, хойсин, арахисовая паста, масло соевое / кунжутное, кунжут белый / черный, сушеный чеснок, красный рисовый уксус, сахар тростниковый, сок лайм / лимон / апельсин)"
,Рис курица су-вид вакаме ,"Рис басмати, куриное филе, вакаме, зеленый базилик
Соус (соевый соус, красный рисовый уксус, кунжутное масло, соевое масло, анчоусный соус, сахар, соль)",,"240,00 ₽"
,Блины с ветчиной и сыром,"Ветчина (свинина/курица), сыр Гауда, свежие укроп и петрушка. Подаются со сметаной",310₽,"220,00 ₽"
,Блины с курицей и грибами,"Фарш куриный, шампиньоны, лук, чеснок, масло подсолнечное, соль, специи.
Подаются со сметаной",310₽,"220,00 ₽"
,Блины с творогом ,"Сыр рикотта, сметана, изюм, ванильный сахар, сахарная пудра. Подаются со сгущенкой",310₽,"210,00 ₽"
,Блины Том - ям,"Начинка блина: куриный фарш, лук репчатый, шампиньоны, чеснок, соль, сахар, паста том-ям, молоко кокосовое, базилик, петрушка 

Соус: сметана, сой соус, анчоусный соус, устричный соус, тонкатцу, уксус, базилик",330₽,"220,00 ₽"
,"Удон курица су-вид пад-тай, Юдзу","Удон, куриное филе, масло кунжутное / соевое, морковь, сельдерей, зеленый базилик
Соус (пад-тай / соевый / анчоусный / вочестер, юдзу, сок лайм / лимон / апельсин, мед, рисовый уксус)"

"СМАК
(фокачча, киш)",Фокачча,"Фокачча с рваной говядиной и печёными перцами / 260 гр
Хлеб, соус (творожный сыр, майонез собственного приготовления, французская горчица), говядина, перец болгарский, сыр чеддер, помидор, французская горчица, руккола

Фокачча с ветчиной и пармезаном / 260 гр
Хлеб, ветчина из индейки, соус (творожный сыр, майонез собственного приготовления, французская горчица), помидор, огурец, сыр пармезан, лист салата

Фокачча с курицей и вялеными томатами / 260 гр
Хлеб, курица копченая, соус (творожный сыр, майонез собственного приготовления, французская горчица), помидор вяленый, сыр российский, огурец, руккола",350₽,"248,00 ₽"

,Киш с рыбой,"Киш с семгой и брокколи
Семга, мука пшеничная, брокколи, сыр твердый, масло сливочное, молоко, сливки, яйцо куриное, соль, сахар, перец",350₽,"237,00 ₽"
,Киш с мясом,"Киш с ветчиной и сыром
Ветчина из индейки, сыр твердый, мука пшеничная, масло сливочное, молоко, сливки, яйцо куриное, соль, сахар, перец

Киш с курицей, грибами и сыром
Филе куриное, мука пшеничная, сыр твердый, грибы шампиньоны, масло сливочное, молоко, сливки, зеленый лук, яйцо куриное, соль, сахар, перец",320₽,"193,00 ₽"





МФуд,Блины с ветчиной и сыром,"Ветчина, сыр. Подаются со сметаной",310,"220,00 / 29%"
,Блины с курицей и грибами,"Курица, грибы, сыр. Подаются со сметаной",310,"220,00 / 29%"
,Блины с творогом ,"Творог, подаются со сгущенкой",310,"210,00 / 32,2%"
,Блины с нутеллой и бананом,,285₽,"150,00 / 47,3%"
,Панини с курицей ,"Курица, пармезан, соус цезарь, салат айсберг",260₽,"110,00 / 50%"
,Панини с беконом,"Бекон, соус BBQ, сыр голландский, салат айсберг",260₽,"110,00 / 50%"
,Боул с индейкой,"Индейка, киноа, горошек и кукуруза консервир., кунжут, соус шрирача",260₽,"185,00 / 68,52%"
,Поке с курицей ,"Рис отварной, курица, свежие овощи, горошек, кукуруза консервированная",260₽,"185,00 / 68,52%"
,"Поке с лососем ""Понзу""","Рис отварной, лосось, огурец, авокадо, водоросли чука, бобы эдомамме, соус унаги",260₽,"195,00 / 60,94%"
,Сырники творожные,Сырники подаются со сгущенкой,310,"220,00 / 29%"
,Чиабатта с говядиной,"Говядина, соус чили, свежие овощи ",310₽,"225,00 / 27,4%"
,Чиабатта с курицей,"Курица, сыр, соус тар-тар, свежие овощи ",310₽,"215,00 / 30,6%"
,Пицца,"Болоньезе
Говядина, сыр моцарелла, сыр тильзитер, томаты, авторский красный соус.

Охотничья
Охотничьи колбаски, сыр моцарелла, сыр тильзитер, томаты, шампиньоны, авторский красный соус

Барбекю
Куриное филе су-вид, бекон свиной, сыр моцарелла, сыр тильзитер, лук ялтинский, авторский красный соус, соус BBQ

Цезарь
Куриное филе су-вид, сыр моцарелла, сыр тильзитер, сыр пармезан, айсберг, томаты, соус Цезарь",160₽,"135,00 / 15,6%"
,Грибной крем-суп,Крем суп на основе грибов шампиньонов и сливок. Подаётся с сухариками,300₽,"210,00 / 40%"
,Гречка с курицей и грибами,Отварная гречка с курицей и грибами в сливочном соусе,300₽,"220,00 /"
,Удон с курицей и овощами,"Куриное филе обжаренное с овощами: болгарский перец, репчатый лук, имбирь и ароматный чеснок в соевом соусе с пшеничной лапшой Удон с кунжутом и зеленым луком",350₽,"245,00 / 18,3%"
,Соба с курицей Терияки,Гречневая лапша с курицей в соусе Терияки с ароматным чесноком и кунжутом,350₽,"210,00 / 30%"
,Чиабатта с семгой,,330₽,"220,00 / 33,3%"

"


Наша кухня (ВК)",Блины с ветчиной и сыром,"Ветчина, сыр моцарелла, сыр маасдам, соль, перец 
Подается со сметаной",250₽,"187,00 / 25%"
,Блины с курицей и грибами,"Курица, грибы шампиньоны, сыр моцарелла, крем-чиз, соль, перец. 
Подается со сметаной",250₽,"185,00 / 26%"
,Блины с творогом,"Творог, яйца, рисовая мука, кукурузная мука, ванилин
Подается со сметаной",250₽,"175,00 / 30%"
,Боул с индейкой,"птитим (основа), кукуруза, огурцы, болгарский перец, зелень, индейка, кунжут, терияки.  Подается с чесночным соусом  и начосами",400₽,"230,00 / 42,5%"
,Боул с рыбой,"киноа (основа), огурцы, болгарский перец, жареный адыгейский сыр, семга, терияки, кунжут, зелень. Подается с соусом спайси (майонез и соус чили)",450₽,"325,00 / 27,7%"
,Буритто,"Куриное филе в соусе берокруз, отварная консерв. красная фасоль, моцарела, консерв. кукуруза 
Подается с соусом сальса и сметаной
*соус берокруз - апельсиновый сок, томатная паста, специя кумин
*соус сальса - томаты, болг. перец, лук",300₽,"222,00 / 26%"
,Киш с курицей и грибами,"Начинка: шампиньоны, куриное филе, сливки, моцарелла, лук, чеснок, перец черный, масло растит., зелень 
Тесто: мука, соль, масло, яйца",280₽,"160,00 / 42,8%"
,Пицца маргарита,"Тесто, томаты, сыр, соус фирменный 
(три вида: томатный, песто, чесночный)",150₽,"107,00 / 28,6%"
