,БАРИСТА
П О Н Е Д Е Л Ь Н И К,,П О Н Е Д Е Л Ь Н И К
,до открытия,Выключить сигнализацию,TRUE
,,Включить освещение,TRUE
,,Включить гирлянды на спокойный режим без мерцания,TRUE
,,Проверить чистоту зала,TRUE
,,"Проветрить помещение в любое время года, открыв дверь на 5-10 минут",TRUE
,,Включить кофемашину,TRUE
,,Открыть смену,TRUE
,,Включить музыку,TRUE
,,Приготовить батч по надобности (после приготовления батча помыть кофеварку и протереть термос),TRUE

,После открытия с 8:00,Ознакомиться со списком скидочных позиций по витрине,TRUE
,,"с ПН по ПТ - составить план заявок на день, учитывая график заявок в чате ""Поставщики"" (ссылку на чат прикрепить)",TRUE
,,"Составить заявку в чат кофейни ""Перемещение"" до 12:00",TRUE
,,Написать заявку в чат по десертам до 11:00 ,TRUE
,,,TRUE

,"обед
с 10:00 до 17:00",Проверить все заготовки на наличие. Варенье сварить с запасом на следующий день,TRUE
,,"Проверить аптечку на соответствие содержимого со списком (внутри аптечки). При отсутствии какого-либо средства – отправить официанта за покупкой в ближайшую аптеку. Если в аптеке нет, отправить заявку на закуп в чат telegram «Закуп продуктов» ",TRUE

,"вечер
с 17:00 до 21:00",Замыть кофемашину и кофейного инвентаря (этот пункт выполняем не ранее закрытия кофейни),TRUE
,,"Протереть все поверхности: 
* кофемашина
* ринзер
* кассовые аппараты
* весы
* гриль
* холодильники",TRUE
,,"Проверить наличие открытых расходников на баре (сок 1л, альт. молоко и т.д.). Если не стоят на нужных местах – сделать это, поставить.   ",TRUE
,,Сборка летней площадки (протереть столы перед сборкой),TRUE
,,"Выключить: музыку, освещение и всё оборудование",TRUE
,,Включить сигнализацию,TRUE
,,Отправить отчет руководителю (обязательно голосовое),TRUE


,БАРИСТА
,,В Т О Р Н И К
В Т О Р Н И К,до открытия,Выключить сигнализацию,TRUE
,,Включить освещение,TRUE
,,Включить гирлянды на спокойный режим без мерцания,TRUE
,,Проверить чистоту зала,TRUE
,,"Проветрить помещение в любое время года, открыв дверь на 5-10 минут",TRUE
,,Включить кофемашину,TRUE
,,Открыть смену,TRUE
,,Включить музыку,TRUE
,,Приготовить батч по надобности (после приготовления батча помыть кофеварку и протереть термос),TRUE

,После открытия с 8:00,Ознакомиться со списком скидочных позиций по витрине,TRUE
,,"с ПН по ПТ - составить план заявок на день, учитывая график заявок в чате ""Поставщики"" (ссылку на чат прикрепить)",TRUE
,,Проверить подвязку зонтов на летней площадке,TRUE

,"обед
с 10:00 до 17:00","Протереть деревянные полки за баром с расходниками, полки с дрипами, банками чая, сиропами.
А также протереть банки чая и бутылки сиропов",TRUE
,,"Проверить ротацию сока (1 л), альт молока за баром",TRUE

,"вечер
с 17:00 до 21:00",При составлении заявки в чат «Кухня» проверить все допники (соусы) и написать лишнее кол-во в заявку,TRUE
,,Замыть кофемашину и кофейного инвентаря (этот пункт выполняем не ранее закрытия кофейни),TRUE
,,"Протереть все поверхности: 
* кофемашина
* ринзер
* кассовые аппараты
* весы
* гриль
* холодильники",TRUE
,,"Проверить наличие открытых расходников на баре (сок 1л, альт. молоко и т.д.). Если не стоят на нужных местах – сделать это, поставить.   ",TRUE
,,После отключения кофемашины убрать стаканы и протереть поверхность от пыли,TRUE
,,Сборка летней площадки (протереть столы перед сборкой),TRUE
,,"Выключить: музыку, освещение и всё оборудование",TRUE
,,Включить сигнализацию,TRUE
,,Отправить отчет руководителю (обязательно голосовое),TRUE


,БАРИСТА
С Р Е Д А,,С Р Е Д А
,до открытия,Выключить сигнализацию,TRUE
