Наименование позиций,Цена 
Батончики,Дмитрий батончики,Ozon
"SNAQ FABRIQ Coco Батончик глазированный ""Кокос"" 40г/30",65,"12 шт / 63
30 шт / 60"
"SNAQ FABRIQ Coco Батончик глазированный ""Кокосово-миндальный десерт"" 40г/30",65,"12 шт / 49
30 шт / 60"
"SNAQ FABRIQ Snaqer Батончик глазированный ""Фундук и карамель"" 50г/30",89,"12 шт / 82
30 шт / 80"
"SNAQ FABRIQ Snaqer Батончик глазированный ""Арахис и карамель"" 50г/30",75,"12 шт / 67
30 шт / 80"
"SNAQ FABRIQ Snaqer Батончик глазированный ""Фисташка и карамель"" 50г/30",89,"12 шт / 80
30 шт / 73"
"SNAQ FABRIQ Snaqer Батончик глазированный ""Арахис, фисташка и тесто катаифи"" ",104,"12 шт / 86
30 шт / 80"
"BOMBBAR Батончик глазированный ""Банановый пуддинг"" 40г/30",79,"12 шт / 69
30 шт / 72"
"BOMBBAR Батончик глазированный ""Малиновый сорбет"" 40г/30",79,"12 шт / 75 
30 шт / 61"
"BOMBBAR Батончик глазированный ""Миндально-кокосовый торт""",74,"12 шт / 75
30 шт / 67"
"BOMBBAR Батончик глазированный ""Фисташковая меренга"" 40г/30",79,"12 шт / 75
30 шт / 72"
"BOMBBAR Батончик глазированный ""Фундучное пралине"" 40г/30",79,"12 шт / 69
30 шт / 72"
"BOMBBAR Батончик глазированный ""Шоколадный брауни"" 40г/30",89,"12 шт / 82
30 шт / 79"
"BOMBBAR Батончик глазированный Торт Моккачино"" 40г/30",89,"12 шт / 82
30 шт / 79"
"BOMBBAR Батончик глазированный Тропические фрукты"" 40г/30",89,"12 шт / 71
30 шт / 79"

На продажу,Премиум сегмент,Метро
Боржоми в стекле,122,"136,7"
"Вода Святой источник 0,5 газ / не газ",-,"35,8"
"Вода Байкал 0,5л",65,-
"Сок 0,2 IL PRIMO Вишня",57,"66,45"
"Сок 0,2 IL PRIMO Персик",57,-
"Сок 0,2 IL PRIMO Апельсин",67,55
"Сок 0,2 IL PRIMO Мультифрукт",57,-
"Сок 0,2 IL PRIMO Яблоко",57,"49,01"
"Сок 0,2 IL PRIMO Томат",57,-
"Сок 0,2 IL PRIMO Грейпфрут",69,-
"Сок 0,2 IL PRIMO Ананас",59,-

Расходники на бар,Цена 
Альт молоко PLANTO ,Премиум сегмент,Метро
Кокос,195,179
Миндаль ,195,179
Банан,195,179
Для холодных напитков,Премиум сегмент,Метро
"Газированная вода  1,5л ","34,5 (НИК)"
Спрайт Добрый  1л,73,"102,9"
"Спрайт Добрый  1,5л",99,"181,9"
"Тоник Chillout Bitter Лимон  0,9л",-,"98,69"
Тоник Rich bitter Лимон  1л,-,"166,3"

Сок 1л,Премиум сегмент,Метро,Вико
IL PRIMO Вишня,127,-,-
IL PRIMO Апельсин,199,-,-
IL PRIMO Гранат,195,-,-
IL PRIMO Грейпфрут,182,-,-
RIOBA Персик,-,"104,74",-
RIOBA Апельсин,-,"159,02",-
RIOBA Вишня,-,"130,17",-
ВИКО Апельсин,-,-,"178,32"
ВИКО Вишня,-,-,"136,22"
ВИКО Персик,-,-,"136,22"
ВИКО Гранат,-,-,"136,22"
