N,Наименование,Количество,Ед. изм.,Сумма,,"Итого: разница в рублях
позиции, которые дороже у Сергея"
,,,,Кабаре,Сергей
1,Вилка одноразовая Премиум ЧЕРНАЯ (50шт/уп) (40уп/пак),1,упак,66,82,"р.16,00"
2,Нож одноразовый Премиум ЧЕРНЫЙ (50шт/уп) (40уп/пак),1,упак,66,82,"р.16,00"
3,Ложка одноразовая Премиум черная (50шт/уп) (50уп/пак),1,упак,66,-
4,Контейнер К-15 (152*152*74) (240шт/упак) (720шт/кор) АНАЛОГ РК-15,1,шт,"5,89","4,8","-р.1,09"
5,Ланч-бокс К-35/2 (50шт/уп) (230*125*87) (504шт/уп) (АНАЛОГ РК-35 (М) (ТТ)),1,шт,"8,15","7,5","-р.0,65"
6,Размешиватель деревянный 500 шт/уп 14 см CaBaRe (1 пак =20 уп),1,упак,"120,75",133,"р.12,25"
7,Крышка d=80 прозрачная МАТОВАЯ ПОКРОВ боковой питейник (50шт/упак) (20упак/пак),1,упак,"104,28",102,"-р.2,28"
8,Крышка d=90 прозрачная МАТОВАЯ ПОКРОВ боковой питейник (50шт/упак) (20упак/пак),1,упак,"109,38",115,"р.5,62"
11,Трубочки в инд. п/э уп. d=8 h=240 мм цветные (250шт/уп) (54упак/пак),1,упак,"157,5",190,"р.32,50"
12,"Сахар порционный ""Нейтральный"" 5 г. ""стик"" 1 кг. (1 уп = 1кг) ФАСОВКА",1,кг,"114,43",128,"р.13,57"
13,Стакан 250 с дизайном,1,шт,"5,8","4,95","-р.0,85"
14,Стакан 350 с дизайном,1,шт,"6,8","7,65","р.0,85"
15,Стакан бабл Б,1,шт,"7,55","7,27","-р.0,28"
16,Стакан бабл М,1,шт,"6,9","5,67","-р.1,23"
