,Кол-во всего,Ед. изм.
Батончики ,,
Батончик ПП ,29,шт
Шоколад Unicava ,,
Белый шоколад ВАНИЛЬНОЕ НЕБО ,5,шт
Белый шоколад ГРЕШЬЮ ,1,шт
Белый шоколад КЛУБНИЧНЫЙ СОРБЕТ ,1,шт
Белый шоколад ТРОПИКАНО ,1,шт
ГОРЯЧИЙ ШОКОЛАД Тайна вонки 100 гр ,1,шт
Драже КОФЕСТАШКА ,5,шт
КАКАВА на чашку (Закуп) ,54,шт
Какао классический UNICAVA 200 гр ,2,шт
Молочный шоколад БОЛЬШАЯ МЕДВЕДИЦА ,1,шт
Молочный шоколад ГРЕЧИШКА ,3,шт
Молочный шоколад Доминикана Око-Caribe 59 % ,5,шт
Молочный шоколад КАПУЧИНО НА КОКОСЕ ,10,шт
Молочный шоколад КАРАМЕЛЬНЫЙ LEMON CURD ,4,шт
Молочный шоколад Колумбия ANEI 59 % ,6,шт
Молочный шоколад МОЛОЧНЫЙ ЭРИТРИТ ,6,шт
Молочный шоколад неДубайский ,11,шт
Молочный шоколад ТАЙНА ВОНКИ ,5,шт
Молочный шоколад ЭКВАДОР 50% ,0,шт
Плитка  КЛУБНИЧНЫЙ СОРБЕТ Б.ш. / 50 гр ,2,шт
Плитка ГОНДУРАС М. ш. / 50 гр ,4,шт
Плитка ДАРК МИЛК М.ш. / 50 гр ,8,шт
Плитка ПЕРУ Мараньон М.ш. / 50 гр ,2,шт
Плитка РАФАЭЛЬ  Б.ш. / 50 гр ,3,шт
Плитка СЛАДКАЯ ТЫКОВКА / 50 гр ,2,шт
Плитка ТАИЛАНД Chanthaburi / 50 гр ,4,шт
Плитка ТАЙНА ВОНКИ / 50 гр ,3,шт
Темный шоколад 70% ДОМИНИКАНА ,7,шт
Темный шоколад БРАЗИЛИЯ / 66% какао ,0,шт
Темный шоколад ВЬЕТНАМ OCA 70% ,6,шт
Темный шоколад ГОНДУРАС 70% ,0,шт
Темный шоколад Индонезия Ransiki 70 % ,6,шт
Темный шоколад Колумбия ANEI 70 % ,6,шт
Темный шоколад ЛИМОННЫЙ БАЗИЛИК ,2,шт
Темный шоколад МАНГО В КУБЕ ,20,шт
Темный шоколад НА КОКОСЕ Semuliki / 70% какао ,5,шт
Темный шоколад НА ЭРИТРИТЕ 70% ,8,шт
Темный шоколад НИКАРАГУА 70% ,0,шт
Темный шоколад ОРЕХОВЫЙ ВАЙБ ,16,шт
Темный шоколад ПЕРУАНСКАЯ ВИШНЯ ,7,шт
Темный шоколад ПРЯНАЯ КЛУБНИКА ,13,шт
Темный шоколад ТАИЛАНД 68% ,2,шт
Темный шоколад ТАНЗАНИЯ 70% ,1,шт
Темный шоколад УГАНДА 70% ,6,шт
Темный шоколад УГАНДА 88% ,0,шт
Темный шоколад УРАЛЬСКАЯ БРУСНИКА ,4,шт
Темный шоколад ЧАЙ С МАЛИНОЙ ,1,шт
Темный шоколад ЭКВАДОР 70% ,0,шт
Шоколад 100% Доминикана ,4,шт
Шоколад Гондурас Asopropib 100% ,9,шт
Шоколад Индонезия Ransiki 100 % ,4,шт
Шоколад Индонезия West Bali 100 % ,4,шт
Шоколад Колумбия ANEI 100 % ,4,шт
Шоколад Мексика 100% ,4,шт
