Наименование,Общее кол-во,Тургенева,Луговая,Самокиша
Дрипы,132,93,25,14
Дрип Боливия Каранави 10 шт,3,2,1,
Дрип Бразилия Суль-де-Минас 10 шт,14,10,4,0
Дрип Бурунди Нкизи 10 шт,1,,1,
Дрип Бэрри (30 шт),6,4,,2
Дрип Бэрри 10 шт,5,5,,
Дрип Гватемала Адольфо Эрнандес / 10 шт,5,5,,
Дрип Гватемала Ла Лагуна / 10 шт,6,6,,
Дрип Гватемала Сантьяго 10 шт,2,1,1,
Дрип Индонезия Суматра Гайо / 10 шт,10,10,,
"Дрип Кения Гитуара, 10 шт",6,6,,
Дрип Кения Маримира / 10 шт,5,5,,
Дрип Кения маунт (10 шт),3,2,1,
Дрип Кения Маунт 30шт,2,1,,1
Дрип Колумбия Декаф   50 шт,2,1,1,
Дрип Колумбия Декаф (30 шт),2,,1,1
Дрип Колумбия Декаф 10 шт,7,2,2,3
Дрип Колумбия Персик Хайро Арчила,5,2,3,
"Дрип Колумбия Уила 
30 шт",1,1,,
Дрип Колумбия Уила 10 шт,7,4,3,
Дрип Коста-Рика Вара Бланка / 10 шт,8,8,,
Дрип Коста-Рика Эстебан Замора / 10 шт,9,9,,
Дрип микс (Подарочный набор),4,,1,3
Дрип Руанда Киву (30 шт),1,,,1
Дрип Руанда Киву 10 шт,3,1,2,
Дрип Эфиопия Мукера 120 часов / 10 шт,3,2,1,
"Дрип Эфиопия Мукера 200 часов, / 10 шт",3,,1,2
Дрип Эфиопия Сидамо    50 шт,1,,1,
Дрип Эфиопия Сидамо (10 шт),2,2,,
Дрип Эфиопия Сидамо 30шт,3,1,,2
"Дрип-пакеты Коста-Рика 2025, 12 шт",4,3,1,
,,,,
Зерно 1 кг,199,111,22,66
Бразилия Серрадо 1 кг,8,1,3,4
Брауни 1 кг,3,3,,
Бэрри 1кг,22,15,1,6
Гватемала Фуэго 1 кг,8,4,1,3
Кения Найроби 1 кг,8,1,2,5
Колумбия Богота 1 кг,38,25,3,10
Колумбия Декаф 1кг,2,,,2
Коста Рика Сан Хосе 1 кг,3,2,1,
Кэнди 1 кг,7,3,2,2
Натти 1кг,26,17,2,7
Руанда Кигали 1кг,12,1,2,9
Флорал 1кг,5,5,,
Фрутти 1кг,16,13,,3
Хани 1 кг,13,8,,5
Эфиопия Гуджи  1 кг,2,2,,
Эфиопия Иргачефф 1кг,11,5,3,3
Эфиопия Оромия 1кг,6,3,,3
Ягодный джем 1 кг,9,3,2,4
,,,,
Зерно фильтр 250 гр,157,64,30,63
Батч-брю 250 гр,4,,,4
Бразилия Сульдеминас 250,32,18,6,8
Гватемала Сантьяго 250,15,6,2,7
Индонезия Суматра Гайо,7,,3,4
Кения Маунт 250 гр,20,6,4,10
Колумбия Уила 250,28,11,8,9
Компетишн Йемен Хайма Анаэробный 100 гр,4,4,,
Компетишн Йемен Хараз 100 гр,4,3,,1
Компетишн Колумбия Гейша Хардинес Дель Эден 100 гр,2,1,,1
Перу Ла Сидра 250 гр,1,,1,
Руанда Киву 250 гр,11,3,2,6
Эфиопия Мукера 120 часов 250 гр,4,1,,3
Эфиопия сидамо 250,25,11,4,10
,,,,
Зерно эспрессо 250 гр,232,107,51,74
Батч-брю Лоукаф 250 гр,28,19,,9
Бразилия серрадо 250,6,3,3,
Брауни 250,12,8,3,1
Бэрри 250,28,13,4,11
Гватемала Фуэго 250,3,,2,1
Кения Найроби 250 гр,10,3,5,2
Колумбия Богота 250,28,11,5,12
Колумбия Декаф 250,18,11,,7
Коста Рика сан Хосе 250,5,1,4,
Кэнди 250,4,1,1,2
Натти 250,6,2,3,1
Фанки 250,20,7,6,7
Флорал 250,11,4,7,
Фрутти 250,18,12,,6
Хани 250 гр,4,1,,3
Эфиопия гуджи 250,16,5,2,9
Эфиопия Иргачефф 250,10,5,3,2
Эфиопия Оромия 250,4,,3,1
Ягодный джем  250 гр,1,1,,
