ТУРГЕНЕВА,16-31.01,,,,
7,"90,43 ₽",,,,
"Родион, Инара, Родион 2, Миляра, Артем, Ангелина, Алена",,,,,
,💰,633 ₽,,,
Название,На остатке,По факту,Расхождение,Сколько ₽ ,Доп. комментарий
Десерты / Еда,,,,,
Боул индейка ВК,8 шт,7 шт,-1 шт,0,пересорт с боул семга
Боул семга ВК,2 шт,3 шт,1 шт +,0,
Булочка с Вишней / Абрикосом,2 шт,0 шт,-2 шт,0,пересорт с булочка корица 1 шт
Булочка с корицей,-1 шт,0 шт,1 шт +,0,
Киш с курицей и грибами,10 шт,9 шт,-1 шт,125,
Онигурадзу семга/ краб/ креветка,21 шт,27 шт,6 шт +,0,
Пицца 1 кус.,1 шт,0 шт,-1 шт,113,
Ролл креветка ВК,11 шт,10 шт,-1 шт,0,пересорт с онигуру креветка
Вупи пай,4 шт,6 шт,2 шт +,0,
Макарон,11 шт,9 шт,-2 шт,0,пересорт с вупи пай
Пирожное Шу,6 шт,5 шт,-1 шт,120,
Пряник на палочке,28 шт,27 шт,-1 шт,55,
Трубочка со сгущенкой,36 шт,35 шт,-1 шт,70,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Итого,,,,483,
,,,,,
"Вода в бутылках, Батончики, Дрип поштучно, Пакет крафт",,,,,
Дрип бар Поштучно (Закуп),75 шт,77 шт,2 шт,0,
Дрип бар Поштучно 85+ (Закуп) Микролот,10 шт,9 шт,-1 шт,30,
,,,,,
,,,,,
Итого,,,,30,
,,,,,
Шоколад / Чай / Зерно,,,,,
Бразилия Сульдеминас 250,1 шт,0 шт,-1 шт,120,739 руб пересорт с дрипами
Дрип Бразилия Суль-де-Минас 10 шт,3 шт,4 шт,1 шт +,0,619 руб
,,,,,
,,,,,
Итого,,,,120,
