Продукт,Вес сырого продукта (кг),Цена за кг сырого продукта (₽),Процент потерь (%),Чистый вес (кг),Цена за кг очищенного продукта (₽),Стоимость очищенного продукта (₽)
Айсберг,"1,00","90,00","25,00","0,75","150,00","112,50"
Баклажан,"1,00","240,00","12,00","0,88","340,91","300,00"
Огурец,"1,00","90,00","7,00","0,93","120,97","112,50"
Перец болгарский,"1,00","140,00","18,00","0,82","213,41","175,00"
Лук ялтинский,,,"20,00",,,
Чеснок,"1,00","600,00","23,00","0,77","974,03","750,00"
Базилик,"1,00","400,00","12,00","0,88","568,18","500,00"
Кинза,"1,00","285,71","18,00","0,82","435,53","357,14"
Картофель,"1,00","100,00","25,00","0,75","166,67","125,00"
Адыгейский сыр ,"1,00","650,00","11,00","0,89","912,92","812,50"
