Калькуляция
Онигурадзу с креветкой
Наименоваие ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Рис готовый,кг,#REF!,"0,140",#REF!
Соевый соус,кг,#REF!,"0,020",#REF!
Креветка,шт,#REF!,"2,000",#REF!
Сладкий Чили,кг,#REF!,"0,025",#REF!
Крем чиз,кг,#REF!,"0,020",#REF!
Огурец,кг,#REF!,"0,030",#REF!
Айсберг,кг,#REF!,"0,020",#REF!
Нори,шт,#REF!,"1,000",#REF!
Терияки,л,#REF!,"0,010",#REF!
Прованские травы,кг,#REF!,"0,001",#REF!
Масло растительное,л,#REF!,"0,010",#REF!
Сок лимона,кг,#REF!,"0,010",#REF!
Соль,кг,#REF!,"0,002",#REF!
Кунжут,кг,#REF!,"0,001",#REF!
Итого:,,,,#REF!

Выход ,,,250/20грамм
Стоимость работы,,,,"50,00"
Коммунальные,,,,"10,00"
Упаковка,,,,"13,00"
Соусничка,,,,"2,00"

ИТОГО,,,,#REF!
