Калькуляция
Онигурадзу краб
Наименоваие ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Рис готовый,кг,#REF!,"0,140",#REF!
Нори,шт,#REF!,"1,000",#REF!
Салат,кг,#REF!,"0,020",#REF!
Огурец,кг,#REF!,"0,020",#REF!
Кремчиз,кг,#REF!,"0,020",#REF!
Майонез,кг,#REF!,"0,020",#REF!
Крабовая палка,кг,#REF!,"0,040",#REF!
Масаго,кг,#REF!,"0,020",#REF!
Соевый соус,кг,#REF!,"0,020",#REF!
Кунжут,кг,#REF!,"0,005",#REF!
Терияки,кг,#REF!,"0,010",#REF!
Итого:,,,,#REF!

Выход ,,,___грамм
Стоимость работы,,,,"50,00"
Коммунальные,,,,"10,00"
Упаковка,,,,"20,00"

ИТОГО,,,,#REF!
