Калькуляция
Ролл с индейкой
Наименоваие ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Тортилья белая,шт,#REF!,"1,000",#REF!
Томатный соус,гр,#REF!,"0,020",#REF!
Карри,кг,#REF!,"0,001",#REF!
Филе индейки готовое,кг,#REF!,"0,040",#REF!
Айсберг,кг,#REF!,"0,040",#REF!
Огурец,кг,#REF!,"0,025",#REF!
Помидор,кг,#REF!,"0,025",#REF!
Соль,кг,#REF!,"0,002",#REF!
Сырный соус,кг,#REF!,"0,040",#REF!
Кориандр,кг,#REF!,"0,001",#REF!
Дым,кг,#REF!,"0,005",#REF!
Специи,кг,#REF!,"0,001",#REF!
Итого:,,,,#REF!

Выход ролла,,,230грамм
Стоимость работы,,,,"50,00"
Коммунальные,,,,"10,00"
Упаковка,,,,"5,00"

ИТОГО,,,,#REF!
