Калькуляция
Салат Цезарь
Наименоваие ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Курица готовая,кг,#REF!,"0,050",#REF!
Айсберг,кг,#REF!,"0,050",#REF!
Черри,кг,#REF!,"0,020",#REF!
Сухарики,кг,"250,00","0,020","5,00"
Соус Цезарь,кг,#REF!,"0,030",#REF!
Пармезан,кг,#REF!,"0,010",#REF!
Яйцо перепелиное,шт,#REF!,"1,000",#REF!
Итого:,,,,#REF!

Выход салата,,,230грамм
Стоимость работы,,,,"50,00"
Коммунальные,,,,"10,00"
Упаковка + вилка,,,,"22,64"

ИТОГО,,,,#REF!
