Калькуляция,,,,,,Калькуляция
Томатный соус,,,,,,Чесночный соус
Наименоваие ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименоваие ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Паста томатная,кг,#REF!,"0,500",#REF!,,Оливковое масло,л,#REF!,"0,200",#REF!
Уксус 9%,л,#REF!,"0,050",#REF!,,Масло растительное,л,#REF!,"0,100",#REF!
Сахар,кг,#REF!,"0,100",#REF!,,Зелень,кг,#REF!,"0,030",#REF!
Соль,кг,#REF!,"0,050",#REF!,,Чеснок,кг,#REF!,"0,020",#REF!
Черный перец молотый,кг,#REF!,"0,020",#REF!,,Соевый соус,л,#REF!,"0,100",#REF!
Итого:,,,,#REF!,,Перец черный,кг,#REF!,"0,002",#REF!
,,,,,,Лимонный сок,кг,#REF!,"0,200",#REF!
Выход соуса 720гр,,,,,,Итого:,,,,#REF!
"Стоимость за 1кг - 172,00руб."
,,,,,,Выход соуса 652гр
,,,,,,"Стоимость за 1кг - 295,00руб."
