Калькуляция
Боул с рыбой
Наименоваие ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Киноа,кг,#REF!,"0,100",#REF!
Нори 1/2,кг,#REF!,"0,500",#REF!
Перец болгарский,кг,#REF!,"0,050",#REF!
Огурец,кг,#REF!,"0,050",#REF!
Адыгейский сыр жареный,кг,#REF!,"0,050",#REF!
Семга,кг,#REF!,"0,030",#REF!
Терияки,кг,#REF!,"0,010",#REF!
Кунжут,кг,#REF!,"0,005",#REF!
Соус спайс,кг,#REF!,"0,030",#REF!
Итого:,,,,#REF!

Выход риса,,,310/30грамм
Стоимость работы,,,,"50,00"
Коммунальные,,,,"10,00"
Упаковка + вилка,,,,"22,64"

ИТОГО,,,,#REF!
