Калькуляция,,,,,,Калькуляция,,,,,,Калькуляция
"Киноа для боула с рыбой
(заготовка на 1 кг)",,,,,,"Птитим для боула с индейкой
 (заготовка на одну порцию 80 гр)",,,,,,"Рис для Онигурадзу
 (заготовка на 1,38 кг)"
Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Киноа,кг,"530,00","0,600","318,00",,Птитим,кг,"170,00","0,040","6,80",,Рис,кг,"104,00","0,480","49,92"
Вода (фильтрованная),кг,"0,00","1,600","0,00",,Вода (фильтрованная),кг,"0,00","0,100","0,00",,Вода,кг,"0,00","0,900","0,00"
Соль,кг,"35,00","0,001","0,04",,Соль,кг,"35,00","0,001","0,04",,Уксус Мицукан,кг,"58,00","0,100","5,80"
Итого:,,,,"318,04",,Итого:,,,,"6,84",,Сахар,кг,"70,00","0,050","3,50"
,,,,,,,,,,,,Итого:,,,,"59,22"
Выход ,,,"2,201",,,Выход,,,"0,141"
Стоимость за 1 кг,,,"318,04руб.",,,Стоимость за 1кг ,,,"85,50руб.",,,Выход,,,"1,530"
,,,,,,,,,,,,Стоимость за 1кг,,,"57,79руб."



,, 
