Калькуляция
Рис терияки с курицей/индейкой
Наименоваие ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Рис готовый,кг,#REF!,"0,150",#REF!
Болгарский перец,кг,#REF!,"0,020",#REF!
Лук фиолетовый,кг,#REF!,"0,020",#REF!
Масло растительное,кг,#REF!,"0,020",#REF!
Терияки,кг,#REF!,"0,020",#REF!
Черный перец,кг,#REF!,"0,002",#REF!
Соль,кг,#REF!,"0,002",#REF!
Кунжут,кг,#REF!,"0,004",#REF!
Жидкий дым,кг,#REF!,"0,005",#REF!
Кориандр,кг,#REF!,"0,001",#REF!
Соевый соус,кг,#REF!,"0,020",#REF!
Индейка,кг,#REF!,"0,040",#REF!
Итого:,,,,#REF!

Выход риса,,,250грамм
Стоимость работы,,,,"50,00"
Коммунальные,,,,"10,00"
Упаковка + вилка,,,,"15,00"

ИТОГО,,,,#REF!
