
,,ПОДГОТОВКА ПРОДУКТОВ ДЛЯ ЗАГОТОВОК ПО ЗАЯВКЕ,УБОРКА И ОРГАНИЗАЦИЯ РАБОЧЕГО МЕСТА
6:30,"достать из морозилки на кухню: семга, крабовые палочки, игра масаго, креветки, тортильи, хлеб для сэндвичей, остатки приготовленного мяса (курица, индейки)
положить креветки в раковину 
постелить картон под плиту","все продукты готовые, берем из морозилки по весу исходя из заказа: 
семга, крабовые палочки, игра масаго, креветки
положить креветки в раковину на разморозку"
6:40,"положить в рукав мясо (индейка / курица) и запечь в духовке: 
для роллов индейка/курица, салата цезаря, боула индейка, сэндвича, риса терияки","подготовить мясо: разморозить и запечь согласно калькуляционной карте ""Маринованное мясо птицы"" этап 2
"
7:00,"позицию ""Куриная отбивная"":
подготовка филе мяса курицы 
подготовка гарнира ","подготовить мясо для куриной отбивной: разморозить и запечь согласно калькуляционной карте ""Маринованное мясо птицы"" этап 3 
подготовить картофель согласно калькуляционной карте, этап 2, ""Куриная отбивная"""
7:20,"поставить варить рис в рисоварку для онигуру и риса терияки
",отварить рис согласно калькуляционной карте Рис для онигурадзу и терияки
8:20,поставить варить киноа в мультиварку,согласно калькуляционной карте Киноа для боула с рыбой
9:36,сделать Чесночный соус (майонез с чесноком) для роллов с индейкой,согласно калькуляционной карте Соус чесночный
9:50,"убрать мультиварку на склад 
убрать со стола, помыть посуду ","подготовить ингредиенты (семгу) для боула с семгой: этап 1
и онигурадзу семга / шеф (этап 2, Маринад семги)","убрать мультиварку на склад 
убрать со стола, помыть посуду "
10:20,"сборка отбивной: 
нарезать маринованный огурец
подготовить петрушку (для украшения)
собрать отбивную в тару по технологии приготовления","сборка отбивной согласно этапу 3 ""Куриная отбивная"""
11:06,"снять рис с рисоварки для онигуру и риса терияки, переложить рис в ведро и смешать с мицукан. отложить в сторону
помыть рисоварку"
11:30,поставить варить птитим ,"отварить птитим до готовности согласно калькуляционной карте Птитим для боула с индейкой 
"
,"адыгейский сыр – подготовить ингредиенты на боул с семгой согласно этапу 1 ""Боул семга"""
,"сборка боула с семгой согласно этапу 2 ""Боул с семгой""
сделать соус для боула с семгой согласно карте ""Соус спайси для боула с семгой"" и разложить в соуснички
важно! соус спайси для боула с семгой более жидкий, в отличии от соуса спайси для онигурадзу с креветкой и ролла с креветкой"
,после сборки боула с семгой – проверить все продукты и убрать их в холодильник предварительно переложив в контейнер
12:11,"убрать со стола, помыть посуду ",,"убрать со стола, помыть посуду "
12:25,"подготовить ингредиенты для боула с индейкой согласно этапу 1 - подготовка ингредиентов Боул с индейкой
сборка боула с идейкой согласно этапу 2 ""Боул с индейкой""
сделать соус для боула с индейкой согласно карте ""Соус Сметанный (для боула с индейкой)"", разложить в соуснички "
,после сборки боула с индейкой – проверить все продукты и убрать их в холодильник предварительно переложив в контейнер
,"убрать со стола, помыть посуду ",,"убрать со стола, помыть посуду "
12:50,"подготовить креветки на онигурадзу с креветкой, онигурадзу шеф и ролл с креветкой согласно карте ""Маринованные креветки"""
14:00-14:30,обед / перерыв
14:30,"Время для заявок поставщикам 
(молоко, хорека, курсеитова) "
14:35,подготовить соус масаго для онигурадзу краб согласно карте Соус масаго,,подготовить рабочую зону к сборке онигуру (достать все ингредиенты на стол)
14:40,"сборка онигуру краб согласно калькуляции онигурадзу Краб
передать тару с онигурадзу помощнику для завершения процесса сборки (помощник нарезает пополам онигурадзу, наливает соус терияки, посыпает кунжутом, закрывает тару и клеет наклейку на крышку)"
15:15,"сборка онигуру шеф согласно калькуляции онигурадзу Шеф
передать тару с онигурадзу помощнику для завершения процесса сборки (помощник нарезает пополам онигурадзу, наливает соус терияки, посыпает кунжутом, закрывает тару и клеет наклейку на крышку)"
15:25,вызвать курьера на доставку еды (за 2 часа до отправки)
15:48,"сборка онигуру семга согласно калькуляции онигурадзу Семга
передать тару с онигурадзу помощнику для завершения процесса сборки (помощник нарезает пополам онигурадзу, наливает соус терияки, посыпает кунжутом, закрывает тару и клеет наклейку на крышку)"
16:34,"сборка онигуру креветка согласно калькуляции онигурадзу Креветка
передать тару с онигурадзу помощнику для завершения процесса сборки (помощник нарезает пополам онигурадзу, наливает соус терияки, посыпает кунжутом, закрывает тару и клеет наклейку на крышку)"
17:07,"после приготовления всех онигуру оставшиеся ингредиенты убрать в контейнеры и в холодильник
убрать со стола, помыть посуду ",,"после приготовления всех онигуру оставшиеся ингредиенты убрать в контейнеры и в холодильник
убрать со стола, помыть посуду "

17:25,начать сборку еды по коробкам на Самокиша и Луговая
17:45 - 18:00,"подготовить рабочую зону к сборке ролла с креветкой (все ингредиенты согласно карте подготовить на рабочую зону) для Тургенева
начать сборку ролла согласно карте Ролл с креветкой, передать помощнику для упаковки ролла
",,"убрать стол, помыть посуду"
18:30,"подготовить рабочую зону к сборке ролла с индейкой и ролла с курицей (все ингредиенты согласно картам подготовить на рабочую зону) для Тургенева
начать сборку роллов, упаковать роллы"
,Важно! Перед отправкой еды на точки проверить комплектацию соусов к позициям 
18:10,"После передачи еды курьеру, обязательно написать в рабочий чат telegram ""Кухня"" что еда уехала на точки"
18:18,печать наклеек-ценников
19:05 - 19:15,перерыв
19:15,"Приготовление заготовок на следующий рабочий день
1. проверить наличие соусов для блюд
2. при необходимости приготовить соусы согласно КК
убрать стол
3. достать замаринованное замороженное мясо из морозильной камеры"
20:17,"уборка рабочей зоны: 
*протереть столы
*помыть духовку внутри и снаружи
*помыть кухонную раковину
*протереть полки
*протереть холодильные двери"
,"Проверить наличие продуктов и составить заявку в чат ""Закуп"" до 20:00 (Пн, Ср, Пт)"
,"Проверить наличие посуды на следующую смену, составить заявку в чат хорека"
,"Проверить наличие еды на рабочих местах, убрать в холодильник / морозилку"
,Обработать помещение от тараканов
21:00,"уборка закончена, собрать мусор, выключить свет кухни и свет холодильника "
,После закрытия задней двери обязательно! проверить решетку двери на закрытие

сделать отдельный пункт,"Маринад мяса: 
После того, как мы получили мясо от поставщика, положить в морозилку.
Вечером перед рабочей сменой – связаться с Бариста и попросить выложить мясо в раковину на разморозку 
На утро во время рабочей смены замариновать мясо, разложить по пакетам по 2кг, оставить мариноваться до вечера и перед уходом со смены убрать мясо в морозилку"

Маринад мяса ,"Вытащить индейку из холодильника и взять размороженную курицу 
Индейка: 
Убрать в контейнер, залить водой и промыть
Отрезать прожилки с мяса, разрезать на 3-4 части, убрать в контейнер 

Курица: 
Промыть в раковине курицу
Отрезать прожилки с мяса
Разрезать вдоль филе слайсами для отбивных 
Разрезать одно филе на 2 части для роллов, сэндвичей, салата цезарь

В итоге подготовленных три контейнера мяса: 
1 - контейнер Индейка
2 - контейнер Курица для отбивных 
3 - контейнер Курица для для роллов, сэндвичей, салата цезарь

Замариновать согласно раскладке, после маринада накрыть крышкой и убрать в холодильник. "
