"Закуп продуктов происходит на 3 смены. Важно следить за минимальным остатком. 
От этого количества составляем список для заказа. "
Наименование продукта,Минимальный остаток,Количество для заказа
👉 чат Закуп Продуктов (Закупка от кофейни)  
Куриный рулет,"от 0,5 кг",1 батон
Яйцо перепелиное,от 1 кассеты ,4 кассеты
Адыгейский сыр,"от 1,5 кг","4,5 кг"
Айсберг ,от 8-10 кг ,30 кг
Огурцы ,от 5 кг ,1 пак / 12 кг
Помидоры ,от 5 кг ,2 пака / 15 кг
Болгарский перец ,от 2 кг,"1 пак / 4,5-5 кг "
Чеснок,от 100 гр,1 кг
Лук ,"от 0,5 кг",1-2 кг
Картофель,от 4 кг,2 мешка / 10 кг
Кинза ,от 1 пуч,2 пуч
Базилик,от 2 пуч ,3 пуч
Кудрявая петрушка ,от 2 пуч ,2-3 пуч
Растительное масло ,от 2 л ,10 л
Оливковое масло ,от 1 л ,3 л
Кешью,"от 0,5 кг",1 кг
Грецкий орех,"от 0,5 кг",1 кг
Сахар,от 1 кг ,5 кг
Птитим ,от 6 уп ,10 уп
Соль,от 1 уп ,5 уп
Кунжут ,от 200 гр,1 кг
Приправа для курицы ,от 500 гр,2 кг
Паприка,от 200 гр,1 кг 
Карри,от 200 гр,500 гр
Прованские травы,от 200 гр,500 гр
Сушеный чеснок ,от 100 гр,500 гр
Сушеный имбирь,от 100 гр,500 гр
Маринованные огурцы,от 2 банок,4 банки (1 банка = 3 л)
👉 чат ИП Курсеитова (заказываем у Максима)
Крабовые палочки (6 уп по 12 шт),от 2 уп,1 пак
Креветки замороженные ,от 2 уп ,3-4 уп 
Икра Масага (красная),от 2 уп ,6 уп (1 уп = 500 гр)
Семга замороженная,от 2 кг ,1 шт
Нори ,от 1 уп (100 шт) ,3 уп
"Рис ""Панда""",от 5 кг,1 мешок (=25 кг)
Киноа ,от 1 кг,3 кг
Кукуруза консервированная,от 4 банок ,1 пак
Тортилья пшеничная (16 уп по 12шт),от 1 пака,1-2 пак
Хлеб кредо (8 уп по 20 шт),от 8 уп (1 пака),2 пак
Соус гриль ,от 1 кг ,3 кг (1 кг=1 уп)
Соус чили,от 2 бут ,2 бут
Соус терияки,от 1 бут ,2 бут
Соус барбекю ,от 1 кг,3 кг
Соус цезарь,от 2 кг (=1 уп),2 уп (=4 кг)
Томатная паста ,от 1 кг,5 кг (=1 ведро)
Моцарелла ,от 1 кг,2 батона (=4 кг)
Сыр творож. сливочный,от 1 ведра ,3 ведра 
Соевый концентрат,от 1 л,1 пак
Мицукан ,от 1 л ,1 пак
Горчица русская,от 200 гр,1 бут
Уксус 9%,"от 0,5 л ",1 бут
👉 чат Вкусный кофе / Подгаевский / Метро
Курица замороженная,от 9 кг (от 1 пака),18-27 кг (2-3 пака)
Индейка охлажденная,от 3 кг,12 кг
Майонез (Метро Шеф),от 1 ведра (=10 кг),3 ведра 
Голландский сыр ,"от 0,5 кг","2,2 кг"
Пармезан ,от 500 гр,"1 уп (4,15 кг)"
Сметана,от 1 уп (400 гр) ,4 уп
👉 чат Хорека (посуда) / Вкусный кофе
Контейнер черн. прямоугольный,1 рукав,1-2 рукава
Контейнер белый прямоугольный,2 рукав,2-4 рукава
Контейнер белый круглый ,2 рукав,2-4 рукава
Соуснички прозрачные ,2 рукав,4-5 рукавов
Рукав для запекания,4 шт,4-5 шт
Антижир,1 бут,2 бут
Хозяйственное мыло,1/3 мыла ,1 шт
Бумага для роллов газетная,"менее 1 уп
(половина упаковки)",1 уп
Пищевая пленка ,1/3 рулона ,1 рулон
Металлические губки для посуды,3 шт,6 шт
Средство для чистки труб ,1 бут,2 бут
Доместос,1 бут,2 бут
Термонаклейки ,4 рулона,8 рулонов
Губки для мытья посуды,4 шт ,1 уп
Салфетки из микрофибры,2 шт,1 уп
Крафтовый пакет 18\8 (для начосов),40 шт,1 уп (=100 шт)
Бланки накладных с широкой строкой,"1/3 уп 
(примерно 10 листов)",1 уп
Средство Дезинфицирущее для обработки поверхностей «Dezon»,1 бут,2 бут
Перчатки одноразовые черные размер М ,1 уп ,2 уп
Перчатки для мытья посуды M и L,0 шт,2 пары
Пакет розовый с ручками ,10 шт,1 уп
Фасовочные пакеты 18х35,10 шт,1 уп
