,   Д Е Й С Т В И Е 
"НАЧАЛО
ДНЯ","По приходу на смену: переодеться в сменную одежду, переобуться и надеть головной убор",FALSE
,"Сверить помощнику повара с поваром общее количество блюд по заявкам, при необходимости скорректировать. если неверно, сделать перерасчет необходимых продуктов ",FALSE
,"Все продукты готовые, берем из морозилки по весу исходя из заказа: 
семга, крабовые палочки, игра масаго, креветки, тортильи, хлеб для сэндвичей, остатки приготовленного мяса (курица, индейки) 
положить креветки в раковину на разморозку",FALSE
,"Подготовить ингредиенты на сэндвичи:
1. Сэндвич Итальянец 
2. Сэндвич Цезарь",FALSE
,"убрать со стола, помыть посуду",FALSE
,"Подготовить ингредиенты на салат Цезарь согласно калькуляционной карте ""Салат Цезарь"", этап 1 (подготовка ингредиентов)",FALSE
,"убрать со стола, помыть посуду",FALSE
,"Подготовить ингредиенты на салат Баклажан согласно калькуляционной карте ""Салат Баклажан"", этап 1 (подготовка ингредиентов)",FALSE
,"Сборка салатов согласно калькуляционным картам: 
1. Сборка салат Цезарь
2. Сборка салат баклажан",FALSE
,"убрать со стола, помыть посуду",FALSE
,"Подготовить мясо: разморозить и запечь согласно калькуляционной карте ""Маринованное мясо птицы"" этап 2",FALSE
,"Сборка сэндвичей согласно 2 этапу: 
1. Сэндвич Итальянец 
2. Сэндвич Цезарь",FALSE
,"Подготовить мясо для куриной Отбивной: разморозить и запечь согласно калькуляционной карте ""Маринованное мясо птицы"" этап 3 
подготовить картофель согласно калькуляционной карте, этап 2, ""Куриная отбивная""",FALSE
,Отварить рис согласно калькуляционной карте Рис для онигурадзу и терияки,FALSE
,Отварить киноа согласно калькуляционной карте Киноа для боула с семгой ,FALSE
,Приготовить чесночный соус согласно калькуляционной карте Соус чесночный,FALSE
,"Подготовить семгу для боула с семгой (этап 1, Боул с семгой) и для онигурадзу семга / шеф (этап 2, Маринад семги)",FALSE
,"Сборка отбивной согласно этапу 3 ""Куриная отбивная""",FALSE
,"Снять рис с рисоварки для онигурадзу и риса терияки, переложить рис в ведро и смешать с мицукан. Отложить в сторону, 
помыть рисоварку",FALSE
,Отварить птитим до готовности согласно калькуляционной карте Птитим для боула с индейкой ,FALSE

"СЕРЕДИНА
ДНЯ","Подготовить адыгейский сыр на боул с семгой согласно калькуляционной карте  этапу 1 ""Боул семга""",FALSE
,"Сборка боула с семгой согласно этапу 2 ""Боул с семгой""
Сделать соус для боула с семгой согласно карте ""Соус спайси для боула с семгой"" и разложить в соуснички

Важно! Соус спайси для боула с семгой более жидкий, в отличии от соуса спайси для онигурадзу с креветкой и ролла с креветкой",FALSE
,После сборки боула с семгой – проверить все продукты и убрать их в холодильник предварительно переложив в контейнер,FALSE
,"убрать со стола, помыть посуду",FALSE
,"Подготовить ингредиенты для боула с индейкой согласно этапу 1 - подготовка ингредиентов Боул с индейкой
сборка боула с идейкой согласно этапу 2 ""Боул с индейкой""
Сделать соус для боула с индейкой согласно карте ""Соус Сметанный (для боула с индейкой)"", разложить в соуснички ",FALSE
,После сборки боула с индейкой – проверить все продукты и убрать их в холодильник предварительно переложив в контейнер,FALSE
,"убрать со стола, помыть посуду",FALSE
,"Приготовить креветки согласно калькуляционной карте Заготовка креветок (маринад и жарка) на онигурадзу с креветкой, онигурадзу шеф и роллы с креветкой",FALSE
,"убрать со стола, помыть посуду",FALSE
,Обед / перерыв
,Время для заявок поставщикам – смотри во вкладку ПОСТАВЩИКИ,FALSE
,"Приготовить соевый соус к онигурадзу согласно калькуляционной карты ""Соус соевый""
Разлить в соусники, исходя из количества по заявке",FALSE
,Подготовить соус масаго для онигурадзу краб согласно карте Соус масаго,FALSE
,"Сборка онигурадзу краб согласно калькуляции онигурадзу Краб
Передать тару с онигурадзу помощнику для завершения процесса сборки (помощник нарезает пополам онигурадзу, наливает соус терияки, посыпает кунжутом, закрывает тару и клеет наклейку на крышку)",FALSE
,"Сборка онигурадзу шеф согласно калькуляции онигурадзу Шеф
Передать тару с онигурадзу помощнику для завершения процесса сборки (помощник нарезает пополам онигурадзу, наливает соус терияки, посыпает кунжутом, закрывает тару и клеет наклейку на крышку)",FALSE
,Вызвать курьера на доставку еды (за 2 часа до отправки),FALSE
,"Сборка онигурадзу семга согласно калькуляции онигурадзу Семга
передать тару с онигурадзу помощнику для завершения процесса сборки (помощник нарезает пополам онигурадзу, наливает соус терияки, посыпает кунжутом, закрывает тару и клеет наклейку на крышку)",FALSE
,"Сборка онигурадзу креветка согласно калькуляции онигурадзу Креветка
передать тару с онигурадзу помощнику для завершения процесса сборки (помощник нарезает пополам онигурадзу, наливает соус терияки, посыпает кунжутом, закрывает тару и клеет наклейку на крышку)",FALSE
,После приготовления всех онигурадзу оставшиеся ингредиенты убрать в контейнеры и в холодильник,FALSE
,"убрать со стола, помыть посуду",FALSE
