

П,ПОДГОТОВКА РАБОЧЕЙ ЗОНЫ,"Разморозка продуктов на день: 
Достать из морозилки на разморозку ","масаго , краб,  семга, креветки, остаток готового мяса "
ПП,,"Разморозка продуктов на день: 
Достать из морозилки на разморозку ","тортильи, хлеб на сэндвичи "
ПП,,Подготовка рабочего пространства,"вставить мешок в мусорный бак, постелить напольные коврики у мойки и один в одной зоне на кухне, повесить чистые полотенца "
ПП / П,,Из холодильной витрины: ,"соусы: чили, соевый, кунжут, терияки, подсолнечное масло, заготовки (мясо)"
П,ГОТОВИТЬ,Приготовление позиций по текущей заявке ,"Начинаем с мясных ингредиентов
1. Приготовить мясо индейки для боулов, ролла и риса терияки и мясо курицы для ролла, цезарь салат, сэндвич
2. Поставить на варку рис для онигуру и риса терияки
3. Приготовить куриную отбивную по калькуляции "
ПП,,Подготовка общих заготовок,"овощи помыть и нарезать согласно технологии приготовления: 
помидоры, огурцы, болг. перец - убрать в контейнеры и в холодильник 
айсберг - порвать руками и убрать в ведра и на балкон 
заготовка крем-чиз сыра для онигуру – завернуть айсберг в сыр 

баклажан помыть, порезать для салата баклажан - обжарить согласно технологии процесса 
взять лепешки и сделать Начосы для боула с индейкой по технологии процесса -  убрать на остывание на балкон
пожарить начосы для боула с индейкой в той же кастрюле после баклажан - убрать на остывание на балкон

исходя из заявки подготовить: яйца отварить, сыр нарезать"
П,,Подготовка заготовок для боулов и для онигуру и для роллов,"Киноа, птитим отварить 
Пожарить адыгейский сыр - убрать на остывание 
Порезать семгу для онигуру и боула - убрать в холодильник 
Подготовить заправку для риса и онигуру согласно калькуляции
Заправить заправкой из мицукан (рисовым уксусом) для онигуру и риса терияки, перемешать и оставить до приготовления онигуру 
Подготовить чесночный соус для ролла с индейкой"







,,В свободные от смен дни в ВС
,,Маринад мяса ,"Вытащить индейку из холодильника и взять размороженную курицу 
Индейка: 
Убрать в контейнер, залить водой и промыть
Отрезать прожилки с мяса, разрезать на 3-4 части, убрать в контейнер 

Курица: 
Промыть в раковине курицу
Отрезать прожилки с мяса
Разрезать вдоль филе слайсами для отбивных 
Разрезать одно филе на 2 части для роллов, сэндвичей, салата цезарь

В итоге подготовленных три контейнера мяса: 
1 - контейнер Индейка
2 - контейнер Курица для отбивных 
3 - контейнер Курица для для роллов, сэндвичей, салата цезарь

Замариновать согласно раскладке, после маринада накрыть крышкой и убрать в холодильник. "
