Наименование позиции,Вес (гр),Разница по весу +/-,,,Количество чеков с 20:00 до 21:00 / Луговая
Ролл индейка,230,,,,Дата,Кол-во,Сумма
Ролл курица,230,,,,16.11,4,"1600
770
200
60"
Ролл креветка,210,,,,17.11,0
Ролл семга,210,,,,18.11,2,"520
15"
Боул семга,270,,,,19.11,4,"670
260
550
330"
Боул индейка,290,,,,20.11,2,"1215
270"
Рис индейка терияки,250,,,,21.11,1,1019
Салат Баклажан ,320,,,,22.11,0
Салат Цезарь с курицей,165,,,,23.11,2,"1500
160"
Отбивная куриная с картофелем,200,,,,24.11,2,"2060
15"
Онигурадзу краб,290,,,,25.11,4,"390
340
360
280"
Онигурадзу семга,270,,,,26.11,3,"180
280
100"
Онигурадзу креветка,265,,,,27.11,2,"280
500"
Онигурадзу шеф,277,,,,28.11,2,"250
160"
,,,,,29.11,5,"700
100
897,50
15
100"
,,,,,30.11,5,"680
910
620
280
170"
,,,,,1.12,0
,,,,,2.12,5,"180
520
520
270
60"
,,,,,3.12,0
,,,,,4.12,2,"530
505"
,,,,,5.12,1,200
,,,,,6.12,4,"680
100
350
510"
,,,,,7.12,6,"250
280
200
460
1100
90"
,,,,,8.12,2,"200
100"
,,,,,9.12,3,"855
480
250"
,,,,,10.12,3,"390
600
280"
,,,,,11.12,2,"280
25"
,,,,,12.12,1,669
,,,,,13.12,3,"1465
300
740"
,,,,,14.12,2,"790
400"
,,,,,15.12,1,150
