,,,,,,,,,,,
ABC и XYZ анализ,,,,,,,,,,,
01.03.2026-30.04.2026,,,,,,,,,,,
,,,,,,,,,,,
Раздел каталога: Шоколад Unicava,,,,,,,,,,,
Наша компания: Наша компания,,,,,,,,,,,
,,,,,,,,,,,
Детализация: Номенклатура,,,,,,,,,,,
"Группы: A: 80, B: 15, C: 5; период: месяц",,,,,,,,,,,
Построен: 17.04.2026,,,,,,,,,,,
,,,,,,,,,,,
,Сумма,,Количество,,,Наценка,,Цена,Себест.,Сумма себест.,"Доля себест, %"
,,,,Ед. изм.,,,,,,,
,112120.0,,415.0,,,69753.53,,,,42366.47,
Белый шоколад ВАНИЛЬНОЕ НЕБО,960.0,B,2.0,шт,B,260.0,C,480.0,350.0,700.0,73.0
Белый шоколад ГРЕШЬЮ,960.0,B,2.0,шт,B,960.0,B,480.0,0.0,0.0,
Белый шоколад КЛУБНИЧНЫЙ СОРБЕТ,600.0,B,1.0,шт,C,600.0,B,600.0,0.0,0.0,
Белый шоколад МАЛИНОВЫЙ БАМБЛ,540.0,C,1.0,шт,C,540.0,B,540.0,0.0,0.0,
Белый шоколад ПЛАНЕТА АРАХИС,470.0,C,1.0,шт,C,150.0,C,470.0,320.0,320.0,68.0
Белый шоколад ТРОПИКАНО,600.0,B,1.0,шт,C,600.0,B,600.0,0.0,0.0,
Горячий шоколад в стружке МОЛОЧНЫЙ НА БАЗУ 59% (300 г),1510.0,A,1.0,шт,C,1510.0,A,1510.0,0.0,0.0,
ГОРЯЧИЙ ШОКОЛАД Тайна вонки 100 гр,980.0,B,2.0,шт,B,980.0,A,490.0,0.0,0.0,
Драже КОФЕСТАШКА,1830.0,A,3.0,шт,B,510.0,B,610.0,440.0,1320.0,72.0
Драже ФИСТАШКА В ШОКОЛАДЕ,610.0,B,1.0,шт,C,170.0,C,610.0,440.0,440.0,72.0
Какао классический UNICAVA 200 гр,750.0,B,1.0,шт,C,750.0,B,750.0,0.0,0.0,
Молочный шоколад БОЛЬШАЯ МЕДВЕДИЦА,7410.0,A,13.0,шт,A,2340.0,A,570.0,390.0,5070.0,68.0
Молочный шоколад Доминикана Око-Caribe 59 %,1410.0,B,3.0,шт,B,450.0,C,470.0,320.0,960.0,68.0
Молочный шоколад ИНДОНЕЗИЯ West bali 50% какао,450.0,C,1.0,шт,C,450.0,C,450.0,0.0,0.0,
Молочный шоколад КАПУЧИНО НА КОКОСЕ,5400.0,A,10.0,шт,A,5400.0,A,540.0,0.0,0.0,
Молочный шоколад КАРАМЕЛЬНЫЙ LEMON CURD,3570.0,A,7.0,шт,A,1120.0,A,510.0,350.0,2450.0,69.0
Молочный шоколад МОЛОЧНЫЙ ЭРИТРИТ,1590.0,A,3.0,шт,B,510.0,B,530.0,360.0,1080.0,68.0
Молочный шоколад неДубайский,4480.0,A,8.0,шт,A,1280.0,A,560.0,400.0,3200.0,71.0
Молочный шоколад ТАИЛАНД Chanthaburi 59%,480.0,C,1.0,шт,C,480.0,B,480.0,0.0,0.0,
Молочный шоколад ТАЙНА ВОНКИ,5760.0,A,12.0,шт,A,1910.0,A,480.0,320.83,3850.0,67.0
Плитка  КЛУБНИЧНЫЙ СОРБЕТ Б.ш. / 50 гр,500.0,C,1.0,шт,C,500.0,B,500.0,0.0,0.0,
Плитка ГОНДУРАС М. ш. / 50 гр,450.0,C,1.0,шт,C,450.0,C,450.0,0.0,0.0,
Плитка РАФАЭЛЬ  Б.ш. / 50 гр,500.0,C,1.0,шт,C,500.0,B,500.0,0.0,0.0,
Плитка ТАЙНА ВОНКИ / 50 гр,1350.0,B,3.0,шт,B,1350.0,A,450.0,0.0,0.0,
Темный шоколад 70% ДОМИНИКАНА,3570.0,A,7.0,шт,A,1050.0,A,510.0,360.0,2520.0,71.0
Темный шоколад БРАЗИЛИЯ / 66% какао,1530.0,A,3.0,шт,B,1530.0,A,510.0,0.0,0.0,
Темный шоколад ВЬЕТНАМ OCA 70%,1500.0,B,3.0,шт,B,390.0,C,500.0,370.0,1110.0,74.0
Темный шоколад ГОНДУРАС 70%,1530.0,A,3.0,шт,B,1530.0,A,510.0,0.0,0.0,
