,,,,,,,,,,,
ABC и XYZ анализ,,,,,,,,,,,
01.04.2026-30.04.2026,,,,,,,,,,,
,,,,,,,,,,,
"Раздел каталога: Вода / Сок / Батончики, Десерты, Еда, Какао / Шоколад в банке Tasty, Дрипы, Субмарина ДРИПЫ, Субмарина 250 гр / 1 кг, Зерно фильтр 250 гр, Зерно эспрессо 250 гр, Зерно 1 кг, Чай 100 гр Tasty, Шоколад Unicava, НАПИТКИ, Мой Чай",,,,,,,,,,,
Наша компания: Наша компания,,,,,,,,,,,
,,,,,,,,,,,
Детализация: Номенклатура,,,,,,,,,,,
"Группы: A: 80, B: 15, C: 5; период: месяц",,,,,,,,,,,
Построен: 17.04.2026,,,,,,,,,,,
,,,,,,,,,,,
,Сумма,,Количество,,,Наценка,,Цена,Себест.,Сумма себест.,"Доля себест, %"
,,,,Ед. изм.,,,,,,,
,2484825.0,,10034.0,,,1593021.85,,,,891803.15,
НАПИТКИ,1146085.0,A,5924.0,,A,899978.9,A,193.46,41.54,246106.1,21.0
Кофе,821960.0,A,3901.0,,A,644655.63,A,210.7,45.45,177304.37,22.0
Капучино,151050.0,A,795.0,шт,A,116903.34,A,190.0,42.95,34146.66,23.0
Большой Капучино,129000.0,A,516.0,шт,A,94759.67,A,250.0,66.36,34240.33,27.0
Латте,112200.0,A,510.0,шт,A,84754.19,A,220.0,53.82,27445.81,24.0
Американо,111300.0,A,795.0,шт,A,90438.6,A,140.0,26.24,20861.4,19.0
Флетуайт,61920.0,A,258.0,шт,A,47180.28,A,240.0,57.13,14739.72,24.0
Большой американо,54780.0,A,249.0,шт,B,44818.58,A,220.0,40.01,9961.42,18.0
Капучино альт. Б,40260.0,B,122.0,шт,B,30588.17,A,330.0,79.28,9671.83,24.0
Раф,23700.0,B,79.0,шт,B,17966.45,B,300.0,72.58,5733.55,24.0
Капучино альт. М,21280.0,B,76.0,шт,B,17589.89,B,280.0,48.55,3690.11,17.0
Эспрессо,20860.0,B,149.0,шт,B,17742.19,B,140.0,20.92,3117.81,15.0
Латте альт.,14100.0,B,47.0,шт,B,11481.74,B,300.0,55.71,2618.26,19.0
Кедровый М,12880.0,B,46.0,шт,B,11136.44,B,280.0,37.9,1743.56,14.0
Кедровый Б,11880.0,B,36.0,шт,C,10026.74,B,330.0,51.48,1853.26,16.0
Флетуайт альт.,11780.0,B,38.0,шт,B,9392.09,C,310.0,62.84,2387.91,20.0
Хорнет Горячий,10890.0,C,33.0,шт,C,9515.59,B,330.0,41.65,1374.41,13.0
Доппио,8140.0,C,37.0,шт,C,6680.94,C,220.0,39.43,1459.06,18.0
Латте декаф,3190.0,C,11.0,шт,C,2787.25,C,290.0,36.61,402.75,13.0
Дрип кофе в стакан Tasty / Субмарина,2700.0,C,15.0,шт,C,2554.17,C,180.0,9.72,145.83,5.0
Дрип микс 1 шт. TASTY / Субмарина,2700.0,C,20.0,шт,C,2700.0,C,135.0,0.0,0.0,
Капучино декаф альт. Б,2280.0,C,6.0,шт,C,1946.35,C,380.0,55.61,333.65,15.0
Кофе СССР,2250.0,C,9.0,шт,C,2160.75,C,250.0,9.92,89.25,4.0
Американо декаф Б,1750.0,C,7.0,шт,C,1695.39,C,250.0,7.8,54.61,3.0
Американо альт. Б,1740.0,C,6.0,шт,C,1468.99,C,290.0,45.17,271.01,16.0
Капучино декаф М,1610.0,C,7.0,шт,C,1427.82,C,230.0,26.03,182.18,11.0
Лунго,1120.0,C,8.0,шт,C,902.91,C,140.0,27.14,217.09,19.0
Флетуайт декаф,1120.0,C,4.0,шт,C,1012.23,C,280.0,26.94,107.77,10.0
Дрип Микролот Tasty (85+) / в стакан,1100.0,C,5.0,шт,C,1050.54,C,220.0,9.89,49.46,4.0
Капучино декаф альт. М,990.0,C,3.0,шт,C,876.0,C,330.0,38.0,114.0,12.0
Капучино декаф Б,870.0,C,3.0,шт,C,760.39,C,290.0,36.54,109.61,13.0
