,,,,,,,,,,,,,,,
Остатки на дату,,,,,,,,,,,,,,,
29.03.2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Наша компания: Наша компания,,,,,,,,,,,,,,,
Остатки: на вечер,,,,,,,,,,,,,,,
Детализация: Номенклатура,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Построен: 31.03.2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Кол-во,Ед. изм.,,,,,,,,,,,,,
,26525.516000000003,,,,,,,,,,,,,,
Вода / Сок / Батончики ,741.0,,,,,,,,,,,,,,
Батончик ПП ,214.0,шт,,,,,,,,,,,,,
Боржоми ,112.0,шт,,,,,,,,,,,,,
"Вода 0,5 газ / не газ ",182.0,шт,,,,,,,,,,,,,
"Вода Байкал 0,45 л ",22.0,шт,,,,,,,,,,,,,
Сок в бутылочке IL PRIMO 0.2 л ,211.0,шт,,,,,,,,,,,,,
Десерты ,286.0,,,,,,,,,,,,,,
Вупи пай ,20.0,шт,,,,,,,,,,,,,
Десерт 350 ,20.0,шт,,,,,,,,,,,,,
Макарон ,34.0,шт,,,,,,,,,,,,,
Моти ,67.0,шт,,,,,,,,,,,,,
Муравейник ,11.0,шт,,,,,,,,,,,,,
Пирожное Шу ,14.0,шт,,,,,,,,,,,,,
Пряник на палочке ,55.0,шт,,,,,,,,,,,,,
Пряник новогодний ,1.0,шт,,,,,,,,,,,,,
Пряник раскраска ,13.0,шт,,,,,,,,,,,,,
Тарталетка Лимон ,1.0,шт,,,,,,,,,,,,,
Тарталетка Орех ,6.0,шт,,,,,,,,,,,,,
Творожный / Морковный  КЕКС ,8.0,шт,,,,,,,,,,,,,
Трубочка со сгущенкой ,33.0,шт,,,,,,,,,,,,,
Чизкейк САН СЕБАСТЬЯН / МАРАКУЙЯ ,3.0,шт,,,,,,,,,,,,,
Дрипы ,118.0,,,,,,,,,,,,,,
Дрип Боливия Каранави 10 шт ,2.0,шт,,,,,,,,,,,,,
Дрип Бразилия Суль-де-Минас 10 шт ,13.0,шт,,,,,,,,,,,,,
Дрип Бэрри (30 шт) ,6.0,шт,,,,,,,,,,,,,
Дрип Бэрри 10 шт ,2.0,шт,,,,,,,,,,,,,
Дрип Гватемала Адольфо Эрнандес / 10 шт ,5.0,шт,,,,,,,,,,,,,
Дрип Гватемала Ла Лагуна / 10 шт ,6.0,шт,,,,,,,,,,,,,
Дрип Гватемала Сантьяго 10 шт ,1.0,шт,,,,,,,,,,,,,
Дрип Индонезия Суматра Гайо / 10 шт ,10.0,шт,,,,,,,,,,,,,
"Дрип Кения Гитуара, 10 шт ",5.0,шт,,,,,,,,,,,,,
Дрип Кения Маримира / 10 шт ,4.0,шт,,,,,,,,,,,,,
Дрип Кения маунт (10 шт) ,2.0,упак,,,,,,,,,,,,,
Дрип Кения Маунт 30шт ,2.0,шт,,,,,,,,,,,,,
Дрип Колумбия Декаф   50 шт ,2.0,шт,,,,,,,,,,,,,
Дрип Колумбия Декаф (30 шт) ,2.0,шт,,,,,,,,,,,,,
Дрип Колумбия Декаф 10 шт ,7.0,шт,,,,,,,,,,,,,
Дрип Колумбия Персик Хайро Арчила ,4.0,шт,,,,,,,,,,,,,
"Дрип Колумбия Уила 
30 шт ",1.0,шт,,,,,,,,,,,,,
Дрип Колумбия Уила 10 шт ,7.0,упак,,,,,,,,,,,,,
Дрип Коста-Рика Вара Бланка / 10 шт ,7.0,шт,,,,,,,,,,,,,
Дрип Коста-Рика Эстебан Замора / 10 шт ,8.0,шт,,,,,,,,,,,,,
Дрип микс (Подарочный набор) ,4.0,упак,,,,,,,,,,,,,
Дрип Руанда Киву (30 шт) ,1.0,шт,,,,,,,,,,,,,
Дрип Руанда Киву 10 шт ,3.0,шт,,,,,,,,,,,,,
Дрип Эфиопия Мукера 120 часов / 10 шт ,2.0,шт,,,,,,,,,,,,,
"Дрип Эфиопия Мукера 200 часов, / 10 шт ",2.0,шт,,,,,,,,,,,,,
Дрип Эфиопия Сидамо    50 шт ,1.0,шт,,,,,,,,,,,,,
Дрип Эфиопия Сидамо (10 шт) ,2.0,шт,,,,,,,,,,,,,
Дрип Эфиопия Сидамо 30шт ,3.0,шт,,,,,,,,,,,,,
"Дрип-пакеты Коста-Рика 2025, 12 шт ",4.0,шт,,,,,,,,,,,,,
Еда ,142.0,,,,,,,,,,,,,,
Блины с ветчиной и сыром ,13.0,шт,,,,,,,,,,,,,
Блины с курицей и грибами ,6.0,шт,,,,,,,,,,,,,
Блины с творогом ,5.0,шт,,,,,,,,,,,,,
Блины Том - ям ,4.0,шт,,,,,,,,,,,,,
Боул индейка ВК ,6.0,шт,,,,,,,,,,,,,
Боул семга ВК ,2.0,шт,,,,,,,,,,,,,
Грибной крем суп ,1.0,шт,,,,,,,,,,,,,
Киш мясной СМАК ,5.0,шт,,,,,,,,,,,,,
Онигурадзу семга/ краб/ креветка ,23.0,шт,,,,,,,,,,,,,
Онигурадзу Шеф ,9.0,шт,,,,,,,,,,,,,
Отбивная куриная ВК ,7.0,шт,,,,,,,,,,,,,
Ролл Индейка ВК ,8.0,шт,,,,,,,,,,,,,
Ролл креветка ВК ,5.0,шт,,,,,,,,,,,,,
Ролл Курица ВК ,8.0,шт,,,,,,,,,,,,,
Салат Баклажан ,4.0,шт,,,,,,,,,,,,,
Салат Цезарь ,5.0,шт,,,,,,,,,,,,,
Соба / Удон с курицей Мфуд ,10.0,шт,,,,,,,,,,,,,
Сосиска в тесте ,-2.0,шт,,,,,,,,,,,,,
Сырники ,3.0,шт,,,,,,,,,,,,,
Сэндвич ,12.0,шт,,,,,,,,,,,,,
Умами ГРЕЧКА / РИС ,6.0,шт,,,,,,,,,,,,,
Фокачча ,4.0,шт,,,,,,,,,,,,,
Чиабатта ,-2.0,шт,,,,,,,,,,,,,
Заморозка ,55.725,,,,,,,,,,,,,,
Банан заморозка (Закуп) ,11.165,кг,,,,,,,,,,,,,
Клубника заморозка (Закуп) ,8.054,кг,,,,,,,,,,,,,
Клюква заморозка (Закуп) ,8.428,кг,,,,,,,,,,,,,
Облепиха заморозка (Закуп) ,7.193,кг,,,,,,,,,,,,,
Персик / абрикос заморозка (Закуп) ,2.27,кг,,,,,,,,,,,,,
Сельдерей заморозка (Закуп) ,6.93,кг,,,,,,,,,,,,,
Смородина / черника заморозка (Закуп) ,1.78,кг,,,,,,,,,,,,,
Шпинат заморозка (Закуп) ,4.37,кг,,,,,,,,,,,,,
Яблоко / Киви заморозка (Закуп) ,5.535,кг,,,,,,,,,,,,,
Зерно 1 кг ,238.0,,,,,,,,,,,,,,
Бразилия Серрадо 1 кг ,37.0,шт,,,,,,,,,,,,,
Брауни 1 кг ,12.0,шт,,,,,,,,,,,,,
Бэрри 1кг ,18.0,шт,,,,,,,,,,,,,
Гватемала Фуэго 1 кг ,11.0,шт,,,,,,,,,,,,,
Кения Найроби 1 кг ,6.0,шт,,,,,,,,,,,,,
Колумбия Богота 1 кг ,27.0,шт,,,,,,,,,,,,,
Колумбия Декаф 1кг ,2.0,шт,,,,,,,,,,,,,
Коста Рика Сан Хосе 1 кг ,1.0,шт,,,,,,,,,,,,,
Кэнди 1 кг ,19.0,шт,,,,,,,,,,,,,
Натти 1кг ,24.0,шт,,,,,,,,,,,,,
Руанда Кигали 1кг ,2.0,шт,,,,,,,,,,,,,
Флорал 1кг ,-1.0,шт,,,,,,,,,,,,,
Фрутти 1кг ,4.0,шт,,,,,,,,,,,,,
Хани 1 кг ,13.0,шт,,,,,,,,,,,,,
Эфиопия Гуджи  1 кг ,11.0,шт,,,,,,,,,,,,,
Эфиопия Иргачефф 1кг ,40.0,шт,,,,,,,,,,,,,
Эфиопия Оромия 1кг ,5.0,шт,,,,,,,,,,,,,
Ягодный джем 1 кг ,7.0,шт,,,,,,,,,,,,,
Зерно фильтр 250 гр ,129.0,,,,,,,,,,,,,,
Бразилия Сульдеминас 250 ,27.0,шт,,,,,,,,,,,,,
Гватемала Сантьяго 250 ,15.0,шт,,,,,,,,,,,,,
Индонезия Суматра Гайо ,6.0,шт,,,,,,,,,,,,,
Кения Маунт 250 гр ,16.0,шт,,,,,,,,,,,,,
Колумбия Уила 250 ,27.0,шт,,,,,,,,,,,,,
Компетишн Йемен Хайма Анаэробный 100 гр ,4.0,шт,,,,,,,,,,,,,
Компетишн Колумбия Гейша Хардинес Дель Эден 100 гр ,1.0,шт,,,,,,,,,,,,,
Перу Ла Сидра 250 гр ,1.0,шт,,,,,,,,,,,,,
Руанда Киву 250 гр ,8.0,шт,,,,,,,,,,,,,
Эфиопия Мукера 120 часов 250 гр ,1.0,шт,,,,,,,,,,,,,
Эфиопия сидамо 250 ,23.0,шт,,,,,,,,,,,,,
Зерно эспрессо 250 гр ,407.0,,,,,,,,,,,,,,
Батч-брю Лоукаф 250 гр ,24.0,шт,,,,,,,,,,,,,
Бразилия серрадо 250 ,32.0,шт,,,,,,,,,,,,,
