Наименование,Цена
Вода / Сок / Батончики, 
Батончик ПП,160.0
Боржоми,190.0
"Вода 0,5 газ / не газ",90.0
"Вода Байкал 0,45 л",120.0
Сок в бутылочке IL PRIMO 0.2 л,130.0
Десерты, 
Вупи пай,250.0
Десерт 350,350.0
Макарон,180.0
Маковый пирог / 1 кус.,240.0
Маффин шоколадный,140.0
Моти,220.0
Муравейник,250.0
Орешки Сгущёнка,190.0
Печенье овсяное,110.0
Пирожное Шу,220.0
Пряник на палочке,135.0
Пряник раскраска,300.0
Тарталетка Лимон,220.0
Тарталетка Орех,270.0
Творожный / Морковный  КЕКС,130.0
Трубочка со сгущенкой,175.0
Чизкейк САН СЕБАСТЬЯН / МАРАКУЙЯ,380.0
Пряник новогодний,180.0
Тыквенный пирог,270.0
Трубочка с кремом,120.0
Еда, 
МФуд, 
Гречка с курицей и грибами МФуд,300.0
Грибной крем суп,350.0
Пицца 1 кус.,176.0
Соба / Удон с курицей Мфуд,350.0
Сырники,310.0
Чиабатта,310.0
Наша кухня, 
Боул индейка ВК,400.0
Боул семга ВК,450.0
Васаби / кетчуп,30.0
Онигурадзу семга/ краб/ креветка,450.0
Онигурадзу Шеф,480.0
Отбивная куриная ВК,420.0
Рис индейка терияки ВК,350.0
Ролл Индейка ВК,330.0
Ролл креветка ВК,380.0
Ролл Курица ВК,330.0
Салат Баклажан,350.0
Салат Цезарь,350.0
Сэндвич,350.0
Смакотерия, 
Киш мясной СМАК,320.0
Киш с рыбой СМАК,350.0
Фокачча,350.0
Умами, 
Блины с ветчиной и сыром,310.0
Блины с курицей и грибами,310.0
Блины с творогом,310.0
Сосиска в тесте,135.0
Умами ГРЕЧКА / РИС,375.0
Блины Том - ям,330.0
Ролл том - ям / Ролл курица ШЕФ УМАМИ,150.0
Расходники / Закуп, 
"Альт молоко 1л закуп (вес уп 50 гр), на розлив", 
Апельсин (Закуп), 
Бутон пагода (красный чай), 
"Варенье (Закуп), на розлив", 
Дрип бар Поштучно (Закуп), 
Дрип бар Поштучно 85+ (Закуп) Микролот, 
Зерно Бункер Батч (Закуп), 
Зерно бункер декаф (Закуп), 
Зерно Бункер Флорал (Закуп), 
Какао Ristora (Закуп), 
Каскара (Закуп), 
Кедровый орех (Закуп), 
Лайм (Закуп), 
Лимон (Закуп), 
Маршмелоу закуп, 
Матча (Закуп), 
Мед (Закуп), 
"Минеральная вода (Закуп), на розлив", 
Молоко (Закуп), 
Пуэр бомбочка,160.0
Пуэр весовой (Закуп), 
Сахар песок закуп, 
Сахар тростниковый (Закуп), 
Сгущёнка (Закуп), 
"Сироп (Закуп), на розлив", 
"Сливки 10% 1 литр (Закуп), на розлив", 
"Сливки растительные 1л (Закуп), на розлив", 
"Сок 1л (Закуп) (вес уп 60 гр), на розлив", 
"Спрайт (Закуп), на розлив", 
"Тоник (Закуп), на розлив", 
Улун весовой (Закуп), 
Чай весовой (Закуп), 
Топпинг (украшение), 
Горячий шоколад UNICAVA (ЗАКУП), 
Заморозка, 
Банан заморозка (Закуп), 
Клубника заморозка (Закуп), 
Клюква заморозка (Закуп), 
Облепиха заморозка (Закуп), 
Персик / абрикос заморозка (Закуп), 
Сельдерей заморозка (Закуп), 
Смородина / черника заморозка (Закуп), 
Шпинат заморозка (Закуп), 
Яблоко / Киви заморозка (Закуп), 
Какао / Шоколад в банке Tasty, 
Молочный горячий шоколад Tasty,929.0
Тёмный горячий шоколад с перцем 70% Tasty,959.0
Темный шоколад 250 гр TASTY,919.0
Дрипы, 
Дрип Боливия Каранави 10 шт,855.0
Дрип Бразилия Марио Мура,689.0
Дрип Бразилия Суль-де-Минас 10 шт,619.0
Дрип Бурунди Нкизи 10 шт,699.0
Дрип Бэрри (30 шт),1639.0
Дрип Бэрри 10 шт,579.0
Дрип Гватемала Адольфо Эрнандес / 10 шт,799.0
Дрип Гватемала Ла Лагуна / 10 шт,819.0
Дрип Гватемала Сантьяго 10 шт,669.0
Дрип Индонезия Суматра Гайо / 10 шт,739.0
"Дрип Кения Гитуара, 10 шт",819.0
Дрип Кения Маримира / 10 шт,819.0
Дрип Кения маунт (10 шт),659.0
Дрип Кения Маунт 30шт,1789.0
Дрип Колумбия Декаф   50 шт,2849.0
Дрип Колумбия Декаф 10 шт,769.0
Дрип Колумбия Персик Хайро Арчила,1039.0
"Дрип Колумбия Уила 
30 шт",1850.0
Дрип Колумбия Уила   50 шт,2839.0
Дрип Колумбия Уила 10 шт,699.0
Дрип Коста-Рика Вара Бланка / 10 шт,864.0
Дрип Коста-Рика Эстебан Замора / 10 шт,879.0
Дрип Крисмас бленд,410.0
Дрип микс (Подарочный набор),1619.0
Дрип Руанда Киву 10 шт,669.0
Дрип Руанда Матьязо  10 шт,739.0
Дрип Эфиопия Мукера 120 часов / 10 шт,859.0
"Дрип Эфиопия Мукера 200 часов, / 10 шт",859.0
Дрип Эфиопия Сидамо    50 шт,2849.0
Дрип Эфиопия Сидамо (10 шт),669.0
Дрип Эфиопия Сидамо 30шт,1880.0
"Дрип-пакеты Коста-Рика 2025, 12 шт",2500.0
Растворимый кофе Бэрри,1039.0
Растворимый кофе Фанки,1189.0
Дрип Бразилия Суль-де-Минас 50 шт,2699.0
Дрип Колумбия Декаф (30 шт),1979.0
Дрип Руанда Киву (30 шт),1859.0
Субмарина ДРИПЫ, 
Субмарина МЕГА ДРИПЫ Симс / 6 шт,890.0
Субмарина МЕГА ДРИПЫ Бразилия Перископ Мармелада,690.0
Субмарина МЕГА ДРИПЫ Эфиопия Челбеса,820.0
Субмарина Набор дрипов №24  / 16 шт,1280.0
Субмарина Набор дрипов МЫТАЯ АФРИКА / 16 шт,1480.0
Субмарина Набор дрипов ГАЙД В СПЕШЕЛТИ / 16 шт,1380.0
Субмарина Набор дрипов КОНТИНЕНТЫ / 16 шт,1580.0
Субмарина Набор дрипов ФЕРМЕНТАЦИЯ / 16 шт,1680.0
Субмарина Набор дрипов ассорти №23 / 30 шт,2290.0
Субмарина 250 гр / 1 кг, 
Субмарина Бразилия Перископ Мармелада 200 гр,630.0
Зерно фильтр 250 гр, 
Батч-брю 250 гр,749.0
Боливия Гейша Лос Родригес 100 гр,1349.0
Боливия Каранави 250 гр,1179.0
Бразилия Мауро Гальери 250 гр,929.0
Бразилия Сульдеминас 250,739.0
Гватемала Сантьяго 250,849.0
Индонезия Ява Мустофа 250 гр,869.0
Кения Маунт 250 гр,929.0
Колумбия Персик Хайро Арчила 250 гр,1439.0
Колумбия Уила 250,859.0
Компетишн Йемен Хайма Анаэробный 100 гр,1009.0
Компетишн Йемен Хараз 100 гр,1009.0
Компетишн Колумбия Гейша Хардинес Дель Эден 100 гр,1860.0
Перу Ла Сидра 250 гр,949.0
Руанда Киву 250 гр,860.0
Эфиопия Мукера 120 часов 250 гр,1139.0
Эфиопия Мукера 200 часов 250 гр,1139.0
Эфиопия сидамо 250,829.0
Индонезия Суматра Гайо,929.0
Зерно эспрессо 250 гр, 
Батч-брю Лоукаф 250 гр,849.0
Бразилия серрадо 250,729.0
Брауни 250,799.0
Бэрри 250,739.0
Гватемала Ла Лагуна 250 гр,1049.0
Гватемала Фуэго 250,849.0
Кения Найроби 250 гр,869.0
Колумбия Богота 250,829.0
Колумбия Декаф 250,939.0
Коста Рика сан Хосе 250,849.0
Крисмас бленд 250 гр,819.0
Кэнди 250,719.0
Натти 250,659.0
Руанда Кигали 250 гр,879.0
Фанки 250,879.0
Флорал 250,799.0
Фрутти 250,749.0
Хани 250 гр,769.0
Эфиопия гуджи 250,819.0
Эфиопия Иргачефф 250,749.0
Эфиопия Оромия 250,820.0
Ягодный джем  250 гр,979.0
Зерно 1 кг, 
Бразилия Серрадо 1 кг,2379.0
Брауни 1 кг,2719.0
Бэрри 1кг,2549.0
Гватемала Фуэго 1 кг,2889.0
Кения Найроби 1 кг,2949.0
Колумбия Богота 1 кг,2819.0
Колумбия Декаф 1кг,3189.0
Коста Рика Сан Хосе 1 кг,2889.0
Кэнди 1 кг,2649.0
Натти 1кг,2379.0
Руанда Кигали 1кг,2980.0
Флорал 1кг,2719.0
Фрутти 1кг,2579.0
Хани 1 кг,2609.0
Эфиопия Гуджи  1 кг,2919.0
Эфиопия Иргачефф 1кг,2380.0
Эфиопия Оромия 1кг,2889.0
Ягодный джем 1 кг,3300.0
Неучтенные товары (хорека), 
Белизна,23.1
Бумажно полотенце в листах 2сл.TORK, 
Вилка / нож / ложка (1 уп/50 шт), 
Губка кухонная проф. PRO, 
Кожный антисептик 500мл, 
Ланч бокс Б (K-21 / Закуп),15.0
Ланч бокс М (К-11),15.0
Мыло-пенка 5л, 
Пакет бумажный жиростойкий бурый 90*40*200, 
Пакет бумажный мал. 110*50*250, 
Пакет бумажный мал. 170*60*250, 
Пакет полипропилен (для Орешков), 
Пакеты для мусора 160л, 
Пакеты для мусора 35, 
Пакеты для мусора 60, 
Пергамент,336.0
Перчатки П/Э OL, 
Подстаканник на 2,2.95
Подстаканник на 4,5.4
Салфетка белая 24х24 (1 уп/5 шт),350.0
Салфетки из микрофибры 30х30, 
Средство для мытья посуды 5л HORECA, 
Средство для чистки стекол и зеркал FOREST clean, 
Средство КРОТ для удаления засоров 1л,86.8
"Туалетная бумага ""Джамбо"" (1уп/12 шт)", 
Чековая лента, 
"Перчатки эластомер  размер L (100шт/уп)(100уп/пак), уп.", 
"Перчатки нитриловые черные S NITRIMAX (1уп=100шт) (1пак=10уп.), уп.", 
"Антиналет ""Без царапин"" FOREST clean спрей 500г(1пак=12шт)", 
"Пергамент для выпечки силикон. 38х100 коричневый (1пак=8 рул), шт", 
Пакет-майка 24*44 индия цветной, 
ЗИП-ЛОК пакет 07*10 (1уп=100шт)(1пак=3уп), 
Накладная А5 (100листов), 
Учтенные товары (хорека), 
Крышка 80 (50),1.9
Крышка 90 (50),186.0
Мешалка дерево премиум 1 шт,0.3
Сахар стик 5 г (Закуп) 1уп=200шт,0.8
Стакан 250 закуп,5.5
Стакан 350 закуп, 
Стакан бабл Б 500 мл (Закуп) 1 уп/25 шт, 
Стакан бабл М 300 мл (Закуп) 1уп/25 шт, 
Стакан эспрессо (Закуп),1.37
Трубочка индивид. (Закуп) ХОРЕКА,0.9
Чай 100 гр Tasty, 
Матча 100 гр,1259.0
Чай Ассам Диджу 100 гр,399.0
чай Ганпаудер 250 гр / НА БАР, 
Чай глинтвейн 100 гр,569.0
Чай Дерзкий фрукт 100 гр,500.0
"Чай зеленый ""Матча"" 250 гр", 
Чай Лимон с имбирем 100 гр,389.0
Чай липовый 100 гр.,389.0
Чай Можевельник 100 гр,389.0
Чай Молихуа Жасмин 100 гр,350.0
Чай Молочный улун 100 гр,600.0
Чай Рухуна 100 гр,419.0
Чай Рухуна 250 гр / НА БАР, 
Чай Сенча 100 гр,350.0
Чай Тегуанинь 100 гр,500.0
Чай Чабрец 100 гр,350.0
Чай Черная смородина 100 гр,420.0
Чай Эрл грей 100 гр,370.0
"Чай ""Женьшень улун"" 100 гр",550.0
Шоколад Unicava, 
Белый шоколад ВАНИЛЬНОЕ НЕБО,510.0
Белый шоколад ГРЕШЬЮ,510.0
Белый шоколад КЛУБНИЧНЫЙ СОРБЕТ,600.0
Белый шоколад МАЛИНОВЫЙ БАМБЛ,570.0
Белый шоколад ТРОПИКАНО,630.0
ГОРЯЧИЙ ШОКОЛАД Тайна вонки 100 гр,510.0
Драже КОФЕСТАШКА,640.0
Драже ФИСТАШКА В ШОКОЛАДЕ,640.0
КАКАВА на чашку (Закуп),250.0
Какао классический UNICAVA 200 гр,790.0
Молочный шоколад ИНДОНЕЗИЯ West bali 50% какао,450.0
Молочный шоколад КАПУЧИНО НА КОКОСЕ,570.0
Молочный шоколад неДубайский,580.0
Молочный шоколад ТАИЛАНД Chanthaburi 59%,510.0
Молочный шоколад ТАЙНА ВОНКИ,510.0
Молочный шоколад ЭКВАДОР 50%,500.0
Плитка  КЛУБНИЧНЫЙ СОРБЕТ Б.ш. / 50 гр,500.0
Плитка ГОНДУРАС М. ш. / 50 гр,450.0
Плитка ДАРК МИЛК М.ш. / 50 гр,450.0
Плитка ПЕРУ Мараньон М.ш. / 50 гр,500.0
Плитка РАФАЭЛЬ  Б.ш. / 50 гр,500.0
Плитка СЛАДКАЯ ТЫКОВКА / 50 гр,500.0
Плитка ТАИЛАНД Chanthaburi / 50 гр,450.0
Плитка ТАЙНА ВОНКИ / 50 гр,450.0
Темный шоколад 70% ДОМИНИКАНА,530.0
Темный шоколад БРАЗИЛИЯ / 66% какао,510.0
Темный шоколад ВЬЕТНАМ OCA 70%,540.0
Темный шоколад ГОНДУРАС 70%,540.0
Темный шоколад ЛИМОННЫЙ БАЗИЛИК,510.0
Темный шоколад МАДАГАСКАР 70%,540.0
Темный шоколад МАНГО В КУБЕ,540.0
Темный шоколад НА КОКОСЕ Semuliki / 70% какао,540.0
Темный шоколад НА ЭРИТРИТЕ 70%,530.0
Темный шоколад НИКАРАГУА 70%,560.0
Темный шоколад ОРЕХОВЫЙ ВАЙБ,510.0
Темный шоколад ПРЯНАЯ КЛУБНИКА,530.0
Темный шоколад ТАИЛАНД 68%,540.0
Темный шоколад ТАНЗАНИЯ 70%,540.0
Темный шоколад УГАНДА 70%,540.0
Темный шоколад УГАНДА 88%,630.0
Темный шоколад УРАЛЬСКАЯ БРУСНИКА,580.0
Темный шоколад ЧАЙ С МАЛИНОЙ,530.0
Темный шоколад ЭКВАДОР 70%,520.0
"Шоколад  НА КУСЬ / Tasty, 5г",30.0
Шоколад 100% Доминикана,600.0
Шоколад Вьетнам OCA 100%,630.0
Шоколад Гондурас Asopropib 100%,630.0
Шоколад Мадагаскар 100%,640.0
Шоколад Мексика 100%,610.0
Шоколад на кусь / РИТЕР СПОРТ,55.0
Шоколад Никарагуа 100%,640.0
Шоколад Танзания 100%,630.0
Шоколад Индонезия Ransiki 100 %,630.0
Темный шоколад Индонезия Ransiki 70 %,560.0
Молочный шоколад Доминикана Око-Caribe 59 %,470.0
Молочный шоколад БОЛЬШАЯ МЕДВЕДИЦА,570.0
Шоколад Индонезия West Bali 100 %,580.0
Молочный шоколад КАРАМЕЛЬНЫЙ LEMON CURD,510.0
Шоколад Колумбия ANEI 100 %,580.0
Молочный шоколад Колумбия ANEI 59 %,470.0
Темный шоколад Колумбия ANEI 70 %,500.0
