Наименование,Общее кол-во,Луговая,Тургенева,Самокиша
Зерно бункер,,,,
Зерно Бункер Флорал (Закуп),123.817 кг,5.446 кг,113.947 кг,4.424 кг
Дрипы,,,,
Дрип Боливия Каранави 10 шт,2.0,1.0,1.0,
Дрип Бразилия Суль-де-Минас 10 шт,8.0,1.0,7.0,
Дрип Бэрри (30 шт),4.0,,3.0,1.0
Дрип Бэрри 10 шт,1.0,,1.0,
Дрип Гватемала Адольфо Эрнандес / 10 шт,5.0,,4.0,1.0
Дрип Гватемала Ла Лагуна / 10 шт,6.0,,5.0,1.0
Дрип Гватемала Сантьяго 10 шт,1.0,1.0,,
Дрип Индонезия Суматра Гайо / 10 шт,10.0,,9.0,1.0
"Дрип Кения Гитуара, 10 шт",5.0,,5.0,
Дрип Кения Маримира / 10 шт,4.0,,4.0,
Дрип Кения маунт (10 шт),1.0,,1.0,
Дрип Кения Маунт 30шт,2.0,,1.0,1.0
Дрип Колумбия Декаф   50 шт,2.0,1.0,1.0,
Дрип Колумбия Декаф (30 шт),2.0,1.0,,1.0
Дрип Колумбия Декаф 10 шт,7.0,2.0,2.0,3.0
Дрип Колумбия Персик Хайро Арчила,4.0,3.0,1.0,
Дрип Колумбия Уила 10 шт,6.0,3.0,3.0,
Дрип Коста-Рика Вара Бланка / 10 шт,5.0,,5.0,
Дрип Коста-Рика Эстебан Замора / 10 шт,8.0,,8.0,
Дрип микс (Подарочный набор),3.0,,,3.0
Дрип Руанда Киву (30 шт),1.0,,,1.0
Дрип Руанда Киву 10 шт,3.0,2.0,1.0,
Дрип Эфиопия Мукера 120 часов / 10 шт,2.0,1.0,1.0,
"Дрип Эфиопия Мукера 200 часов, / 10 шт",2.0,1.0,,1.0
Дрип Эфиопия Сидамо    50 шт,1.0,1.0,,
Дрип Эфиопия Сидамо (10 шт),1.0,,1.0,
Дрип Эфиопия Сидамо 30шт,3.0,,1.0,2.0
"Дрип-пакеты Коста-Рика 2025, 12 шт",2.0,1.0,1.0,
Зерно 1 кг,,,,
Бразилия Серрадо 1 кг,30.0,2.0,21.0,7.0
Брауни 1 кг,10.0,2.0,5.0,3.0
Бэрри 1кг,14.0,,10.0,4.0
Гватемала Фуэго 1 кг,11.0,4.0,4.0,3.0
Кения Найроби 1 кг,5.0,2.0,,3.0
Колумбия Богота 1 кг,25.0,1.0,15.0,9.0
