ЛУГОВАЯ,30.03-14.04
7,129 ₽
"Родион К, Снежана, Юля, Василиса, Ангелина, Саша, Артем"
,💰,900 ₽
Название,На остатке,По факту,Расхождение,Сколько ₽ за 1 шт,Доп. комментарий
Десерты / Еда
Десерт 350,11,10,-1 шт,70,пересорт с вупи пай 
Вупи пай,0,1,1 шт +,0
Блины с курицей и грибами «МФуд»,2,3,1 шт +,0
Ролл том - ям / Ролл курица Шеф умами,1,0,-1 шт,110
Сосиска в тесте,6,0,-6 шт,480
Ролл креветка ВК,7,6,-1 шт,240,пересорт с блины курица
Ролл Курица ВК,6,5,-1 шт,0,пересорт с блины курица



Итого,,,,900

"Вода в бутылках, Батончики, Дрип поштучно, Пакет крафт, Чай, Шоколад"




Итого,,,,0

ШОКОЛАД / ЧАЙ / ЗЕРНО


Итого,,,,0
