ТУРГЕНЕВА,27.03-14.04
7,"172,57 ₽"
"Родион З, Ангелина, Лиза, Родион К,  Юля, Артем, Саша"
,💰,1 208 ₽
Название,На остатке,По факту,Расхождение,Сколько ₽ ,Доп. комментарий
Десерты / Еда
Моти,67,66,-1 шт,120
Муравейник,-4,2,6 шт +,0
Чизкейк Сан-Себастьян,-2,4,6 шт +,0
Киш с рыбой СМАК,1,0,-1 шт,237
Фокачча,5,1,-4 шт,992,496 руб - Артем за 2 шт
Блины с курицей и грибами «МФуд»,6,5,-1 шт,0,пересорт с блины том-ям
Блины с творогом «МФуд»,1,0,-1 шт,210
Блины Том - ям,1,2,1 шт +,0
Ролл том - ям / Ролл курица Шеф умами,3,2,1 шт +,0
Боул семга ВК,7,6,-1 шт,75,пересорт с онигуру семга 1 шт
Онигурадзу семга / краб/ креветка,10,12,2 шт +,0,"пересорт с боул семга 1 шт
пересорт с онигуру шеф 1 шт"
Онигурадзу Шеф,5,4,-1 шт,70
Ролл Курица ВК,11,12,1 шт +,0









Итого,,,,1704

"Вода в бутылках, Батончики, Дрип поштучно, Пакет крафт"




Итого,,,,0
,,,,1208,"со всех, 496 руб с Артема"
Шоколад / Чай / Зерно




Итого,,,,0
