,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчет по продажам,,,,,,,,,,,,,,,,,,,,,,,,,,
12.03.2026-29.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Наша компания: Все юридические лица,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Детализация: Склад, Номенклатура",,,,,,,,,,,,,,,,,,,,,,,,,,
Построен: 30.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Кол-во,Ед. изм.,Закупочные цены,,Наценка,,,Продажа,,,,,,,,,,,,,,,,,
,,,,Себест.,Сумма себест.,Наценка %,Сумма наценки,Доля наценки,"Доля, %",Ср. цена,Сумма,,,,,,,,,,,,,,,
,,11089.0,,51.73,573609.27,367.56,2108374.73,,,241.86,2681984.0,,,,,,,,,,,,,,,
Тургенева 20,0,5269.0,,53.09,279733.1,356.96,998528.9,47.0,48.0,242.6,1278262.0,,,,,,,,,,,,,,,
Капучино,0,367.0,шт,52.21,19161.01,263.92,50568.99,5.0,5.0,190.0,69730.0,,,,,,,,,,,,,,,
Американо,0,425.0,шт,8.0,3401.4,1649.28,56098.6,6.0,5.0,140.0,59500.0,,,,,,,,,,,,,,,
Большой Капучино,0,221.0,шт,56.42,12468.49,343.12,42781.51,4.0,4.0,250.0,55250.0,,,,,,,,,,,,,,,
Латте,0,249.0,шт,33.66,8381.7,553.57,46398.3,5.0,4.0,220.0,54780.0,,,,,,,,,,,,,,,
Десерт 350,0,167.0,шт,185.51,30980.0,75.32,23333.0,2.0,4.0,325.23,54313.0,,,,,,,,,,,,,,,
Онигурадзу семга/ краб/ креветка,0,109.0,шт,,,,47259.0,5.0,4.0,433.57,47259.0,,,,,,,,,,,,,,,
Большой американо,0,158.0,шт,9.51,1501.99,2214.26,33258.01,3.0,3.0,220.0,34760.0,,,,,,,,,,,,,,,
Сэндвич,0,98.0,шт,,,,33348.0,3.0,3.0,340.29,33348.0,,,,,,,,,,,,,,,
Моти,0,139.0,шт,120.0,16680.0,80.19,13375.0,1.0,2.0,216.22,30055.0,,,,,,,,,,,,,,,
Ролл креветка ВК,0,75.0,шт,,,,28360.0,3.0,2.0,378.13,28360.0,,,,,,,,,,,,,,,
Флетуайт,0,114.0,шт,24.94,2843.14,862.32,24516.86,2.0,2.0,240.0,27360.0,,,,,,,,,,,,,,,
Ролл Индейка ВК,0,78.0,шт,,,,25188.0,3.0,2.0,322.92,25188.0,,,,,,,,,,,,,,,
Фокачча,0,72.0,шт,190.94,13747.81,73.76,10140.19,1.0,2.0,331.78,23888.0,,,,,,,,,,,,,,,
Капучино альт. Б,0,72.0,шт,32.43,2334.96,917.58,21425.04,2.0,2.0,330.0,23760.0,,,,,,,,,,,,,,,
Ролл Курица ВК,0,68.0,шт,,,,21998.0,2.0,2.0,323.5,21998.0,,,,,,,,,,,,,,,
Чай в стакан,0,121.0,шт,9.26,1120.98,1627.06,18239.02,2.0,2.0,160.0,19360.0,,,,,,,,,,,,,,,
Какао,0,61.0,шт,74.77,4561.27,301.2,13738.73,1.0,1.0,300.0,18300.0,,,,,,,,,,,,,,,
Боул индейка ВК,0,45.0,шт,,,,17700.0,2.0,1.0,393.33,17700.0,,,,,,,,,,,,,,,
Онигурадзу Шеф,0,38.0,шт,,,,17600.0,2.0,1.0,463.16,17600.0,,,,,,,,,,,,,,,
Боул семга ВК,0,38.0,шт,,,,16749.0,2.0,1.0,440.76,16749.0,,,,,,,,,,,,,,,
Флорал 1кг,0,6.0,шт,,,,16314.0,2.0,1.0,2719.0,16314.0,,,,,,,,,,,,,,,
Сосиска в тесте,0,122.0,шт,95.61,11665.0,36.82,4295.0,,1.0,130.82,15960.0,,,,,,,,,,,,,,,
Соба / Удон с курицей Мфуд,0,45.0,шт,199.06,8957.5,70.16,6284.5,1.0,1.0,338.71,15242.0,,,,,,,,,,,,,,,
Чай Облепиха,0,51.0,шт,9.1,464.22,2976.13,13815.78,1.0,1.0,280.0,14280.0,,,,,,,,,,,,,,,
Отбивная куриная ВК,0,37.0,шт,,,,14175.0,1.0,1.0,383.11,14175.0,,,,,,,,,,,,,,,
