,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчет по продажам,,,,,,,,,,,,,,,,,,,,,,,,,,
30.03.2026-14.04.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Наша компания: Все юридические лица,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Детализация: Склад > Номенклатура,,,,,,,,,,,,,,,,,,,,,,,,,,
Построен: 15.04.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Кол-во,Ед. изм.,Закупочные цены,,Наценка,,,Продажа,,,,,,,,,,,,,,,,,
,,,,Себест.,Сумма себест.,Наценка %,Сумма наценки,Доля наценки,"Доля, %",Ср. цена,Сумма,,,,,,,,,,,,,,,
,,9600.0,,87.18,836912.49,180.47,1510402.51,,,244.51,2347315.0,,,,,,,,,,,,,,,
Тургенева 20,0.0,4772.0,,93.38,445602.54,162.02,721964.46,48.0,50.0,244.67,1167567.0,,,,,,,,,,,,,,,
Капучино,0.0,370.0,шт,44.5,16466.03,326.94,53833.97,7.0,6.0,190.0,70300.0,,,,,,,,,,,,,,,
Большой Капучино,0.0,206.0,шт,67.32,13868.44,271.35,37631.56,5.0,4.0,250.0,51500.0,,,,,,,,,,,,,,,
Десерт 350,0.0,149.0,шт,183.22,27300.0,80.99,22109.0,3.0,4.0,331.6,49409.0,,,,,,,,,,,,,,,
Американо,0.0,345.0,шт,27.03,9324.52,417.99,38975.48,5.0,4.0,140.0,48300.0,,,,,,,,,,,,,,,
Латте,0.0,214.0,шт,54.62,11688.94,302.77,35391.06,5.0,4.0,220.0,47080.0,,,,,,,,,,,,,,,
Онигурадзу семга/ краб/ креветка,0.0,95.0,шт,226.32,21500.0,89.58,19259.0,3.0,3.0,429.04,40759.0,,,,,,,,,,,,,,,
Сэндвич,0.0,86.0,шт,250.0,21500.0,37.38,8036.0,1.0,3.0,343.44,29536.0,,,,,,,,,,,,,,,
Моти,0.0,130.0,шт,120.0,15600.0,78.53,12250.0,2.0,2.0,214.23,27850.0,,,,,,,,,,,,,,,
Флетуайт,0.0,110.0,шт,58.94,6483.58,307.18,19916.42,3.0,2.0,240.0,26400.0,,,,,,,,,,,,,,,
Ролл креветка ВК,0.0,68.0,шт,240.0,16320.0,54.9,8960.0,1.0,2.0,371.76,25280.0,,,,,,,,,,,,,,,
