По свечам 85% с каждой продажи

,Наименование / период,"Цена за 1 шт. 
(розница)",Себес. за 1 шт.,Продано (в шт.),Итоговая сумма (руб)
,"Тургенева 
с 13 по 30.09 (включительно)"
1,"Свеча Маленькая ""S""",1100,935,2,1870
2,Свеча XL,2000,1700,2,3400
3,"Свеча Средняя ""М""",1500,1275,0,0
4,"Свеча Большая ""L""",1700,1445,0,0
5,Тарелка маленькая,350,"297,5",2,595
,Итого Тургенева: ,,,,5 270 ₽

,"Луговая
с 13 по 30.09 (включительно)"
1,"Свеча Маленькая ""S""",1100,935,3,2805
2,Свеча XL,2000,1700,0,0
3,"Свеча Средняя ""М""",1500,1275,7,8925
4,Свеча Большая Ребристая,1700,1445,0,0
5,Стакан,600,510,1,510
6,Тарелка маленькая,350,"297,5",2,595
7,Тарелка облако,550,"467,5",0,0
,Итого Луговая: ,,,,12 835 ₽
,ИТОГОВАЯ СУММА (руб): ,,,,18 105 ₽
