По свечам 85% с каждой продажи

,Наименование / период,"Цена за 1 шт. 
(розница)",Себес. за 1 шт.,Продано (в шт.),Итоговая сумма (руб)
,"Тургенева 
"
,17.12-04.01 (включительно)
1,"Свеча Маленькая ""S""",1100,935,18,16830
2,Свеча XS (80 мл),650,"552,5",6,3315
3,Свеча XL,2000,1700,1,1700
4,"Свеча Средняя ""М""",1500,1275,,0
5,"Свеча Большая ""L""",1700,1445,,0
6,Тарелка маленькая,350,"297,5",,0
7,Аромасаше,300,255,8,2040
8,Открытка,50,"42,5",30,1275
9,Подарочный набор Свечи,750,"637,5",6,3825
10,Свеча ребристая 120 мл ,900,765,3,2295
,Итого Тургенева: ,,,,31 280 ₽

,Луговая
,17.12-04.01 (включительно)
1,"Свеча Маленькая ""S""",1100,935,6,5610
2,Свеча XS (80 мл),650,"552,5",5,"2762,5"
3,Свеча XL,2000,1700,,0
4,"Свеча Средняя ""М""",1500,1275,2,2550
5,Свеча Большая Ребристая,1700,1445,,0
6,Стакан,600,510,,0
7,Тарелка маленькая,350,"297,5",2,595
8,Тарелка облако,550,"467,5",1,"467,5"
9,Аромасаше,300,255,4,1020
10,Открытка,50,"42,5",19,"807,5"
11,Свеча ребристая 120 мл ,900,765,1,765
,Итого Луговая: ,,,,14 578 ₽
,ИТОГОВАЯ СУММА (руб): ,,,,45 858 ₽
