По свечам 80% с каждой продажи

,Наименование / период,"Цена за 1 шт. 
(розница)",Себес. за 1 шт.,Продано (в шт.),Диана 80% (руб),Итоговая сумма без %  (руб)
,"Тургенева 
"
,21.01-04.02
1,"Свеча Маленькая ""S""",1200,960,1,960,1200
2,Свеча XS (80 мл),650,520,1,520,650
3,Свеча XL,2200,1760,1,1760,2200
4,"Свеча Средняя ""М""",1700,1360,,0,0
5,"Свеча Большая ""L""",1700,1360,,0,0
6,Тарелка маленькая,350,280,,0,0
7,Аромасаше,300,240,2,480,600
8,Открытка,50,40,4,160,200
9,Подарочный набор Свечи,750,600,,0,0
10,Свеча ребристая 120 мл ,900,720,,0,0
,Итого Тургенева: ,,,,3 880 ₽,4 850 ₽

,Луговая
,21.01-04.02 (включительно)
1,"Свеча Маленькая ""S""",1200,960,,0,0
2,Свеча XS (80 мл),650,520,,0,0
3,Свеча XL,2200,1760,,0,0
4,"Свеча Средняя ""М""",1700,1360,,0,0
5,Свеча Большая Ребристая,1700,1360,,0,0
6,Стакан,600,480,,0,0
7,Тарелка маленькая,350,280,1,280,350
8,Тарелка облако,550,440,,0,0
9,Аромасаше,300,240,,0,0
10,Открытка,50,40,3,120,150
11,Свеча ребристая 120 мл ,900,720,,0,0
,Итого Луговая 80%: ,,,,400 ₽,500 ₽

,"ИТОГОВАЯ СУММА (руб): 
80%",,,💰,4 280 ₽
