
,,,По свечам 80% с каждой продажи
,Наименование / период,"Цена за 1 шт. 
(розница)",Себес. за 1 шт.,Продано (в шт.),Диана 80% (руб),Итоговая сумма без %  (руб)
,Т У Р Г Е Н Е В А
,Расчет 22.12-18.01 (включительно)
1,Свеча керамика,2800,2240,2,4480,5600
2,"Свеча Маленькая ""S""",1200,960,7,6720,8400
3,Свеча Круассан,1500,1200,1,1200,1500
4,Свеча железная,900,720,6,4320,5400
2,Свеча XS (80 мл),650,520,,0,0
5,Свеча XL,2200,1760,,0,0
6,"Свеча Средняя ""М""",1700,1360,1,1360,1700
5,"Свеча Большая ""L""",1900,1520,,0,0
"4,7",Свеча ребристая 120 мл ,900,720,,0,0
7,Тарелка маленькая,350,280,,0,0
7,Аромасаше,300,240,,0,0
8,Арома диффузер 100 мл,1800,1440,2,2880,3600
9,Арома диффузер 50 мл,1300,1040,,0,0
10,Авто парфюм,500,400,4,1600,2000
11,Открытка,50,40,10,400,500
10,Подарочный набор Свечи,750,600,,0,0
11,Стикеры,300,240,,0,0
,Итого Тургенева: ,,,,18 480 ₽,23 100 ₽

,Л У Г О В А Я 
,Расчет 22.12-18.01 (включительно)
1,"Свеча Маленькая ""S""",1200,960,,0,0
,Свеча керамика,2800,2240,1,2240,2800
,Свеча железная,900,720,,0,0
2,Свеча XS (80 мл),650,520,,0,0
2,Свеча XL,2200,1760,,0,0
3,"Свеча Средняя ""М""",1700,1360,,0,0
5,Свеча Большая Ребристая,1900,1520,,0,0
6,Свеча ребристая 120 мл ,900,720,,0,0
4,Стакан,600,480,,0,0
5,Тарелка маленькая,350,280,,0,0
6,Тарелка облако,550,440,,0,0
7,Аромасаше,300,240,,0,0
8,Арома диффузер 50 мл,1300,1040,,0,0
9,Авто парфюм,500,400,1,400,500
10,Открытка,50,40,2,80,100
12,Стикеры,300,240,,0,0
,Итого Луговая: ,,,,2 720 ₽,3 400 ₽

,"ИТОГОВАЯ СУММА (руб): 
80%",,,💰,21 200 ₽
