Название,Цена,Новая цена,Комментарий после планерки
К О Ф Е 
Эспрессо,130 ₽,"140,00 ₽",,TRUE
Доппио,200 ₽,"220,00 ₽",,TRUE
Доппио декаф,220 ₽,"250,00 ₽",,FALSE
Лунго,130 ₽,"140,00 ₽",,FALSE
Американо,130 ₽,"140,00 ₽",,TRUE
Большой американо,200 ₽,"220,00 ₽",,TRUE
Американо альт. М,180 ₽,"210,00 ₽",,FALSE
Американо альт. Б,260 ₽,"290,00 ₽",,FALSE
Американо декаф М,170 ₽,"180,00 ₽",,FALSE
Американо декаф Б,240 ₽,"250,00 ₽",,FALSE
Капучино,170 ₽,"190,00 ₽",,TRUE
Большой Капучино,230 ₽,"250,00 ₽",,TRUE
Капучино альт. М,260 ₽,"280,00 ₽",,FALSE
Капучино альт. Б,300 ₽,"330,00 ₽",,FALSE
Капучино декаф М,200 ₽,"230,00 ₽",,FALSE
Капучино декаф Б,270 ₽,"290,00 ₽",,FALSE
Капучино декаф альт. М,300 ₽,"330,00 ₽",,FALSE
Капучино декаф альт. Б,350 ₽,"380,00 ₽",,FALSE
Латте,200 ₽,"220,00 ₽",,TRUE
Латте альт. ,280 ₽,"300,00 ₽",,FALSE
Латте декаф ,260 ₽,"290,00 ₽",,FALSE
Латте декаф альт. ,330 ₽,"360,00 ₽",,FALSE
Флетуайт,220 ₽,"240,00 ₽",,TRUE
Флетуайт альт.,280 ₽,"310,00 ₽",,FALSE
Флетуайт декаф,250 ₽,"280,00 ₽",,FALSE
Кедровый М,250 ₽,"280,00 ₽",,TRUE
Кедровый Б,300 ₽,"330,00 ₽",,TRUE
Раф,280 ₽,"300,00 ₽",,TRUE
Раф декаф,340 ₽,"370,00 ₽",,FALSE
Дрип кофе в стакан,160 ₽,"180,00 ₽",,TRUE
Дрип микс 1 шт. TASTY,120 ₽,"135,00 ₽",,FALSE
Дрип Микролот Tasty (85+) / 1 шт.,150 ₽,"170,00 ₽",,FALSE
Дрип Микролот Tasty (85+) / в стакан,220 ₽,,,FALSE
Кофе СССР,220 ₽,"250,00 ₽",,TRUE
Батч М ,130 ₽,"140,00 ₽",,FALSE
Батч Б ,200 ₽,"220,00 ₽",,FALSE
Хорнет Горячий,300 ₽,"330,00 ₽",,FALSE
,,,,FALSE
 Н Е    К О Ф Е ,,,,FALSE
Какао ,300 ₽,,,FALSE
Какао альт.,350 ₽,"380,00 ₽",,FALSE
Горячий шоколад,320 ₽,,,FALSE
Матча,300 ₽,"320,00 ₽",,TRUE
Матча альт,350 ₽,"370,00 ₽",,FALSE
Горячий шоколад/какао UNICAVA на чашку (1 шт.),300 ₽,,,FALSE
UNICAVA Горячий шоколад / Какао в стакан,350 ₽,,,FALSE
Нутелла Б,300 ₽,---,,FALSE
Сок стакан на розлив,100 ₽,"120,00 ₽",,FALSE
Стакан + кипяток,70 ₽,,,FALSE
,,,,FALSE
 С М У З И    И   Ф Р Е Ш,,,,FALSE
Смузи Клубника-банан,350 ₽,"399,00 ₽",,FALSE
Смузи Желтый,350 ₽,"399,00 ₽",,FALSE
Смузи Зеленый,350 ₽,"399,00 ₽",,FALSE
Смузи Красный ,350 ₽,"399,00 ₽",,FALSE
Фреш,330 ₽,"360,00 ₽",,FALSE
,,,,FALSE
 Х О Л О Д Н Ы Е    Н А П И Т К И
АЙС ТИ,300 ₽,"330,00 ₽",,FALSE
Чай Апельсин АЙС,300 ₽,"330,00 ₽",,FALSE
Чай Глинтвейн АЙС,300 ₽,"330,00 ₽",,FALSE
Чай Клюква АЙС,300 ₽,"330,00 ₽",,FALSE
Чай Облепиха АЙС,300 ₽,"330,00 ₽",,FALSE
Матча айс ,350 ₽,"380,00 ₽",,FALSE
Матча айс на альт. молоке,380 ₽,"410,00 ₽",,FALSE
Лимонад,300 ₽,"330,00 ₽",,FALSE
Молочный коктейль Б,300 ₽,"330,00 ₽",,TRUE
Мохито,320 ₽,"350,00 ₽",,FALSE
Американо АЙС,250 ₽,"280,00 ₽",,FALSE
Капучино Альт. Холод,350 ₽,"390,00 ₽",,FALSE
Латте АЙС,350 ₽,"380,00 ₽",,FALSE
Латте Айс Декаф,400 ₽,"440,00 ₽",,FALSE
Хорнет,270 ₽,"290,00 ₽",,FALSE
Хорнет Б,320 ₽,"340,00 ₽",,FALSE
Хорнет Декаф М,320 ₽,"350,00 ₽",,FALSE
Хорнет Декаф Б,370 ₽,"400,00 ₽",,FALSE
Хорнет на Фреше,450 ₽,"480,00 ₽",,FALSE
Эспрессо Тоник с лаймом,270 ₽,"290,00 ₽",,FALSE
Эспрессо Тоник с лаймом Б,320 ₽,"340,00 ₽",,FALSE
Эспрессо тоник с сиропом,270 ₽,"290,00 ₽",,FALSE
Эспрессо тоник с сиропом Б,320 ₽,"340,00 ₽",,FALSE
,,,,FALSE
 Ч А Й 
Чай в стакан,150 ₽,"160,00 ₽",,TRUE
Бутон в стакан,200 ₽,"220,00 ₽",,TRUE
Пуэр в стакан ШАР,200 ₽,"220,00 ₽",,TRUE
Пуэр в стакан (на вес),200 ₽,"220,00 ₽",,TRUE
Улун в стакан,200 ₽,"220,00 ₽",,TRUE
Чай Апельсин,250 ₽,"280,00 ₽",,TRUE
Чай Глинтвейн,250 ₽,"280,00 ₽",,TRUE
Чай Имбирный (Маракуйя / Карамель),250 ₽,"280,00 ₽",,TRUE
Чай Клюква,250 ₽,"280,00 ₽",,TRUE
Чай Облепиха,250 ₽,"280,00 ₽",,TRUE
Чай в Чайник,300 ₽,"400,00 ₽",,FALSE
Чайник Улун,400 ₽,"500,00 ₽",,FALSE
Чайник Пуэр (весовой),400 ₽,"500,00 ₽",,FALSE
Чайник Пуэр ШАР,500 ₽,"600,00 ₽",,FALSE
Чайник чая Апельсиновый,500 ₽,"600,00 ₽",,FALSE
Чайник чая Глинтвейн,500 ₽,"600,00 ₽",,FALSE
Чайник чая Клюквенный,500 ₽,"600,00 ₽",,FALSE
Чайник чай Облепиховый,500 ₽,"600,00 ₽",,FALSE
Чайник чая Имбирный (Маракуйя / Карамель),500 ₽,"600,00 ₽",,FALSE
,,,,FALSE
Д О Б А В К И ,,,,FALSE
альт. молоко,80 ₽,"90,00 ₽",,FALSE
добавка шоколад Ристора,80 ₽,"90,00 ₽",,FALSE
лимон,20 ₽,,,FALSE
маршмелоу,50 ₽,,,FALSE
мед,50 ₽,,,FALSE
молоко,30 ₽,"50,00 ₽",,FALSE
мята,10 ₽,,,FALSE
орешки кедр,70 ₽,,,FALSE
сгущенка,50 ₽,,,FALSE
сироп,60 ₽,,,FALSE
сливки,50 ₽,"60,00 ₽",,FALSE
,,,,FALSE
 П Е Р С О Н А Л ,,,,FALSE
Альт. молоко персонал,50 ₽,"60,00 ₽",,FALSE
Кофе альт молоко М персонал,80 ₽,"90,00 ₽",,FALSE
Кофе персонал,40 ₽,"50,00 ₽",,FALSE
Кофе с молоком персонал М,70 ₽,"80,00 ₽",,FALSE
Молоко персонал,25 ₽,"35,00 ₽",,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
