,Поставщик / Обжарщик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05.2024,,,,28.05.2024,,,,04.06.2024,,,25.06.2024,,,,03.07.2024,,,,23.07.2024,,,,09.09.2024,,,,04.07.2025,,,,05.08.2025,,,,13.03.2026
Наименование,,Самокиша ,Тургенева,"Самокиша 
02.09.23","Тургенева 
02.09.23","Самокиша 
10.09.23","Тургенева 
10.09.23","Самокиша 
17.09.23","Тургенева 
17.09.23","Самокиша 
23.09.23","Тургенева 
23.09.23","Самокиша 
01.10.23","Тургенева 
30.09.23","Самокиша 
08.10.23","Тургенева 
07.10.23","Тургенева 
14.10.23","Самокиша 
15.10.23","Тургенева 
04.11.23","Самокиша 
05.11.23","Тургенева 
14.11.23","Самокиша 
14.11.23","Тургенева 
19.11.23","Самокиша 
19.11.23","Тургенева 
26.11.23","Самокиша 
26.11.23","Тургенева 
03.12.23","Самокиша 
03.12.23","Тургенева 
11.12.23","Самокиша 
11.12.23","Тургенева 
18.12.23","Самокиша 
18.12.23","Тургенева 
05.01.2024","Самокиша 
05.01.2024","Тургенева 
15.01.2024","Самокиша 
15.01.2024","Тургенева 
04.02.2024","Самокиша 
04.02.2024","Тургенева 
12.02.2024","Самокиша 
12.02.2024","Тургенева 
19.02.2024","Самокиша 
19.02.2024","Тургенева 
25.02.2024","Самокиша 
25.02.2024","Тургенева 
03.03.2024","Самокиша 
03.03.2024","Тургенева 
10.03.2024","Самокиша 
10.03.2024","Тургенева 
17.03.2024","Самокиша 
17.03.2024","Тургенева 
24.03.2024","Самокиша 
24.03.2024","Общее количесто 24.03
(для сайта)","Тургенева 
31.03.2024","Самокиша 
01.04.2024","Общее количесто 01.04
(для сайта)","Тургенева 
07.04.2024","Самокиша 
07.04.2024","Общее количесто 07.04
(для сайта)","Тургенева 
14.04.2024","Самокиша 
14.04.2024","Общее количесто 14.04
(для сайта)","Тургенева 
22.04.2024","Самокиша 
22.04.2024","Общее количесто 22.04
(для сайта)","Тургенева 
12.05.2024","Самокиша 
12.05.2024","Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто
Аксессуары для кофе / Сопутка |  TASTY
Воронка Hario,Tasty coffee,,,,,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Порошок для чистки кофемашин CAFIZA 2 (900 гр),Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0
Средство CUP для удаления кофейных масел в порошке 1000 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0
Средство для удаления кофейных масел CUP (100 шт),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,9
Фильтр кемекс,Tasty coffee,,,,,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1
Фильтры аэропресс,Tasty coffee,,,,,3,2,3,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,0,4,2,1,1,4,2,1,3,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,0,1,0,1,0,1,0,1,0,0,0,0
Фильтры для капельной кофеварки 3л 100 шт,Tasty coffee,,,,,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,1,3,1,3,0,3,3,0,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,0,3,1,2,0,3,1,2,3,1,2,0,3,1,2,0,3,1,2,0,3,1,2,0,3,0,2,0,2,0,2,0,2,0,0,0,0
Фильтры для чая 100шт,Tasty coffee,,,,,0,0,0,0,0,0,0,0,0,0,20,0,7,9,8,9,8,9,8,9,8,8,8,8,8,8,8,8,7,8,7,8,7,8,7,8,7,7,7,7,6,7,6,6,6,6,12,6,6,12,6,6,12,6,6,12,5,6,11,5,6,11,3,6,0,9,3,6,0,9,3,4,7,2,3,0,5,2,3,1,6,9,5,1,15,9,5,1,15,13,4,0,17,14,7,4,25,2,3,2,7
Фильтры мелитта 40 шт,Tasty coffee,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,0,3,1,2,0,3,1,2,3,1,2,0,3,1,2,0,3,1,2,0,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
