  Наименование,,Где лежит / кол-во,,,,"Итого 
(должно быть)",По факту,Не хватает,💰Цена 💰
,,На баре,,на складе
 Кофейный набор
1,Чашка фильтр красная ,1,TRUE,1,TRUE,2
2,Чашка фильтр синяя,1,TRUE,1,TRUE,2,,1 Жанна
3,Чашка фильтр желтая ,1,TRUE,1,TRUE,2
4,Чаша желтая 200 мл,3,TRUE,2,TRUE,5
6,Чаша серая 200 мл,3,TRUE,2,TRUE,5
8,Чаша бирюзовая 200 мл,4,TRUE,2,TRUE,6
10,Чаша голубая 300 мл,3,TRUE,2,TRUE,5
12,Чаша синяя с рисунком 300 мл,2,TRUE,,,2
14,Чаша красная 300 мл,2,TRUE,2,TRUE,4
16,Чаша синяя 300 мл,2,TRUE,3,TRUE,5
5,Блюдце желтые 200 мл,3,TRUE,2,TRUE,5
7,Блюдце серое 200 мл,3,TRUE,1,TRUE,4
9,Блюдце бирюзовое 200 мл,4,TRUE,1,TRUE,5,3,1,Взять со склада 
11,Блюдце голубое,3,TRUE,2,TRUE,5
13,Блюдце синее с рисунком,2,TRUE,,,2
15,Блюдце красное,1,TRUE,,,1
17,Блюдце синее,2,TRUE,1,TRUE,3
18,Эспрессо черная чашка,3,TRUE,,,3
19,Эспрессо черное блюдце,4,TRUE,,,4
20,Эспрессо голубая чашка,2,TRUE,,,2
21,Эспрессо голубые блюдца,2,TRUE,,,2
Тарелки
22,Тарелка цветная плоская,5,FALSE,1,TRUE,6,5,-1 шт,Инара должна купить
23,Тарелка глубокая,4,TRUE,,,4,,,1100 руб
24,Тарелка десертная белая,4,FALSE,,,4,3,-1," 1 шт со сколом. Итого 2 тарелки рабочие 

250 руб"
25,Тарелка десертная серо-белая,5,TRUE,,,5
,Конверт для приборов,8,TRUE,,,8,7+
Стаканы / чайник
26,Стакан высокий 500 мл,4,TRUE,4,TRUE,8
27,Стакан низкий 300 мл,4,TRUE,5,TRUE,9
28,Рокс 150 мл,6,TRUE,,,6
29,Рокс 300 мл,2,TRUE,,,2
Столовые приборы 
30,Ложки кофейные ,14,FALSE,2,TRUE,16,12,-2,150 руб
31,Ложки чайные,5,FALSE,1,TRUE,6,3,-2,200 руб
32,Ножи столовые ,6,TRUE,,,6
33,Вилки столовые ,6,FALSE,12,TRUE,18,5,-1,362 руб
34,Вилки десертные,5,FALSE,3,TRUE,8,4,-1,300 руб
35,Ножи десертные,5,TRUE,5,TRUE,10
