  Наименование,,Где лежит / кол-во,,"Итого 
(должно быть)",По факту,Не хватает,💰Цена 💰
,,На баре,Под баром / в банках
 Кофейный набор
1,Чаша желтая 200 мл,3,2,5,TRUE
2,Блюдце желтые,3,2,5,TRUE
3,Чаша серая 200 мл,3,2,5,TRUE
4,Блюдце серое,3,1,4,TRUE
5,Чаша бирюзовая,4,2,6,TRUE
6,Блюдце бирюзовое,4,2,6,TRUE
7,Чаша голубая 300 мл,3,2,5,TRUE
8,Блюдце голубое,3,2,5,TRUE
9,Чаша синяя с рисунком,1,,1,TRUE
10,Блюдце синее с рисунком,1,,1,TRUE
11,Чаша красная 300 мл,2,2,4,TRUE
12,Блюдце красное,1,,1,TRUE
13,Чаша синяя,3,3,6,TRUE
14,Блюдце синее,3,1,4,TRUE
15,Эспрессо черная чашка,3,,3,TRUE
16,Эспрессо черное блюдце,4,,4,TRUE
17,Эспрессо голубая чашка,2,,2,TRUE
18,Эспрессо голубые блюдца,2,,2,TRUE
Тарелки
19,Тарелка цветная плоская,5,,5,TRUE
20,Тарелка глубокая,4,,4,TRUE
21,Тарелка десертная белая,4,,4,TRUE
22,Тарелка десертная серо-белая,5,,5,TRUE
Стаканы / чайник
23,Стакан высокий 500 мл,7,1,8,TRUE
24,Стакан низкий 300 мл,4,6,10,TRUE
25,Рокс 150 мл,5,1,6,TRUE
26,Рокс 300 мл,2,,2,TRUE
Столовые приборы 
27,Ложки кофейные ,14,8,22,21,-1
28,Ложки чайные,5,7,12,TRUE,,200 руб
29,Ножи столовые ,6,,6,TRUE
30,Вилки столовые ,6,16,22,21,-1,362 руб
31,Вилки десертные,5,4,9,8,-1
32,Ножи десертные,5,5,10,TRUE
