  Наименование,,Где лежит / кол-во,,"Итого 
(должно быть)",По факту,Не хватает,💰Цена 💰
,,На баре,на сладе
 Кофейный набор
1,Чашка фильтр красная ,1,1,2,TRUE
2,Чашка фильтр синяя,1,1,2,TRUE
3,Чашка фильтр желтая ,1,1,2,TRUE
4,Чаша желтая 200 мл,3,2,5,TRUE
5,Блюдце желтые,3,2,5,TRUE
6,Чаша серая 200 мл,3,2,5,TRUE
7,Блюдце серое,3,1,4,TRUE
8,Чаша бирюзовая 200 мл,4,2,6,TRUE
9,Блюдце бирюзовое,4,2,6,TRUE
10,Чаша голубая 300 мл,3,2,5,TRUE
11,Блюдце голубое,3,2,5,TRUE
12,Чаша синяя с рисунком,1,,1,TRUE
13,Блюдце синее с рисунком,1,,1,TRUE
14,Чаша красная 300 мл,2,2,4,TRUE
15,Блюдце красное,1,,1,TRUE
16,Чаша синяя,3,3,6,TRUE,-1,2 шт
17,Блюдце синее,3,1,4,TRUE,-1,"2 шт (Василиса разбила 21.03, заказала) "
18,Эспрессо черная чашка,3,,3,TRUE
19,Эспрессо черное блюдце,4,,4,TRUE
20,Эспрессо голубая чашка,2,,2,TRUE
21,Эспрессо голубые блюдца,2,,2,TRUE
Тарелки
22,Тарелка цветная плоская,5,,5,TRUE
23,Тарелка глубокая,4,,4,TRUE
24,Тарелка десертная белая,4,,4,FALSE,-1,3 шт
25,Тарелка десертная серо-белая,5,,5,TRUE
Стаканы / чайник
26,Стакан высокий 500 мл,4,4,8,TRUE
27,Стакан низкий 300 мл,4,6,10,TRUE
28,Рокс 150 мл,5,1,6,TRUE
29,Рокс 300 мл,2,,2,TRUE
Столовые приборы 
30,Ложки кофейные ,14,8,22,TRUE
31,Ложки чайные,5,7,12,TRUE,,200 руб
32,Ножи столовые ,6,,6,TRUE
33,Вилки столовые ,6,14,20,TRUE,,362 руб
34,Вилки десертные,5,4,9,TRUE
35,Ножи десертные,5,5,10,TRUE
