,Наименование,Описание,Ссылка,Метка
ДЛЯ ШЕФА,,,,
1,Закуп / сравнение цен,"Батончики, Хорека, Блины/ чиабатта, Сиропы",https://docs.google.com/spreadsheets/d/1kr6Z0HyYcAZWTTp7Jp_nopsGRVuK45smtcayBaTRPMM/edit?usp=sharing,Директор
2,Контакты печати строительных сеток,,https://docs.google.com/spreadsheets/d/1h22FSh3F7dUGAIUDJXGbyOWQJokZ7jKVSh_aYt9pceI/edit?usp=sharing,Директор
3,Размер одежды сотрудников,,https://docs.google.com/spreadsheets/d/1w4K9mrGmrSIua6oUI4kuMziI88YjLetJkcdjdzLADOE/edit?usp=drive_link,Директор
4,Таблица по З/п сотрудников,,https://docs.google.com/spreadsheets/d/1vA2XkU229QoRQhWAbqjGTeB1Ba_fFSp0Dq_CEhKZC7Y/edit?usp=drive_link,"Директор, Шеф-бариста"
5,Компании по дезинсекции,,https://docs.google.com/spreadsheets/d/1fge42tcKdx33MNxH9jrQxxdmzAaoIeS8eCTbuFF4AMM/edit?gid=0#gid=0,Директор
6,Расчет Диана (МЕЛТ),,https://docs.google.com/spreadsheets/d/1asLM0UlGNOOhQfMkoc5zDj2MKgtc4tWnwPSn5A3E9js/edit?usp=drive_link,Директор
7,Макеты меню ,,https://drive.google.com/drive/folders/1H2J7gdgG2DgR6HqGHoTtEVwiDGBwzvtj?usp=drive_link,Директор
ДЛЯ ПОСТАВЩИКОВ,,,,
1,Карточка ИП,,https://drive.google.com/file/d/12DjbQSRh19_7dA0C-Tlj7TJ4SrH7eR9M/view?usp=drive_link,"ОМ, Директор"
2,ФНС Свидетельство,,https://drive.google.com/file/d/1WRtjgpQ4temJNjLeQ_Fmtyb0h9iVUywN/view?usp=drive_link,"ОМ, Директор"
3,Паспорт 1 стр. и регистрация,,"https://drive.google.com/file/d/1oAhx8VI813tFxYHwtVuiqt63qqrsMgqZ/view?usp=drive_link

https://drive.google.com/file/d/190NKUDkAUbyoHiX0sPYpQv7pLpALLu6d/view?usp=drive_link

","ОМ, Директор"
4,Ссылка на папку со всеми документами,,https://drive.google.com/drive/folders/1ICIBdbnlGbTaRl71nLKGh5d04mgX9rLE?usp=drive_link,"ОМ, Директор"
НАЙМ И ПЕРСОНАЛ,,,,
,Вакансия Раннера,,https://docs.google.com/document/d/1OSzl8CxricxgaE9aPQUpDnzoo3oDh6Aq6cQKKJjSO9c/edit?usp=drive_link,ОМ
,Вакансия Бариста,,https://docs.google.com/document/d/1FgqiJAiEUe6lkkW1uvZLQBfP0ZlaPfj7oiyYexnATmo/edit?usp=drive_link,ОМ
,Документы при трудоустройстве,,https://drive.google.com/drive/folders/1v71_n06jkaWJ7GiyDxsDWFAr2tJao8jb?usp=drive_link,ОМ
,ДР сотрудников и рабочая почта сотрудников,,https://docs.google.com/spreadsheets/d/1KiXAyzk88L0fyOWp0C9IbEcI0QGAhQL7jmPJgE__aVU/edit?usp=sharing,ОМ
,Список чатов кофейни,,https://docs.google.com/spreadsheets/d/1pRFiKE3Ll6jTogDU-dgLgv2yKpNnMjxbJlwloBI4P-g/edit?usp=drive_link,"Бариста, Официант"
