  Наименование,,Где лежит / кол-во,,,,"Итого 
(должно быть)",По факту,Не хватает,💰Цена 💰
,,На баре,,на складе,,,,,
 Кофейный набор,,,,,,,,,
1,Чашка фильтр красная ,1,FALSE,1,FALSE,2,,,
2,Чашка фильтр синяя,1,FALSE,1,FALSE,2,,,
3,Чашка фильтр желтая ,1,FALSE,1,FALSE,2,,,
4,Чаша желтая 200 мл,3,FALSE,2,FALSE,5,,,
5,Чаша серая 200 мл,3,FALSE,2,FALSE,5,,,
6,Чаша бирюзовая 200 мл,4,FALSE,2,FALSE,6,,,
7,Чаша голубая 300 мл,3,FALSE,2,FALSE,5,,,
8,Чаша синяя с рисунком 300 мл,2,FALSE,,,2,,,
9,Чаша красная 300 мл,2,FALSE,2,FALSE,4,,,
10,Чаша синяя 300 мл,2,FALSE,3,FALSE,5,,,
11,Блюдце желтые 200 мл,3,FALSE,2,FALSE,5,,,
12,Блюдце серое 200 мл,3,FALSE,1,FALSE,4,,,
13,Блюдце бирюзовое 200 мл,4,FALSE,1,FALSE,5,,,
14,Блюдце голубое,3,FALSE,2,FALSE,5,,,
15,Блюдце синее с рисунком,2,FALSE,,,2,,,
16,Блюдце красное,1,FALSE,,,1,,,
17,Блюдце синее,2,FALSE,1,FALSE,3,,,
18,Эспрессо черная чашка,3,FALSE,,,3,,,
19,Эспрессо черное блюдце,4,FALSE,,,4,,,
20,Эспрессо голубая чашка,2,FALSE,,,2,,,
21,Эспрессо голубые блюдца,2,FALSE,,,2,,,
Тарелки,,,,,,,,,
22,Тарелка цветная плоская,5,FALSE,,,5,,,Инара должна купить
23,Тарелка глубокая синяя,4,FALSE,,,4,,,1100 руб
24,Тарелка глубокая черная,5,FALSE,5,FALSE,10,,,600 руб
25,Тарелка десертная белая,4,FALSE,,,4,,,
26,Тарелка десертная серо-белая,5,FALSE,,,5,,,
27,Конверт для приборов,8,FALSE,,,8,,,300 руб
Стаканы / чайник,,,,,,,,,
1,Стакан высокий 500 мл,4,FALSE,4,FALSE,8,,,
2,Стакан низкий 300 мл,4,FALSE,5,FALSE,9,,,
3,Рокс 150 мл,6,FALSE,,,6,,,
4,Рокс 300 мл,2,FALSE,,,2,,,
Столовые приборы ,,,,,,,,,
1,Ложки кофейные ,14,FALSE,2,FALSE,16,,,150 руб
2,Ложки чайные,5,FALSE,1,FALSE,6,,,200 руб
3,Ножи столовые ,6,FALSE,,,6,,,
4,Вилки столовые ,6,FALSE,12,FALSE,18,,,362 руб
5,Вилки десертные,5,FALSE,3,FALSE,8,,,300 руб
6,Ножи десертные,5,FALSE,5,FALSE,10,,,
