Название,Текущая Цена,Новая цена,Комментарий после планерки,"Цена обновлена в Контур 
(заполняет Жанна)"
 В О Д А  /  С О К   ,,,,
Батончик ПП,150 ₽,"160,00 ₽",,FALSE
Боржоми,170 ₽,"190,00 ₽",,FALSE
Вода 0.5,75 ₽,"90,00 ₽",,FALSE
"Вода БАЙКАЛ 0,45л",100 ₽,"120,00 ₽",,FALSE
"Сок в бутылочке 0,2л / IL PRIMO",100 ₽,"130,00 ₽",,FALSE
Комбуча на основе каскары,250 ₽,,,FALSE
Кофе кола в банке (красный),250 ₽,,,FALSE
,,,,FALSE
 Е Д А,,,,
Киш с курицей и грибами,200 ₽,"220,00 ₽",,FALSE
Пицца 1 кус.,160 ₽,"176,00 ₽",,FALSE
Сосиска в тесте,120 ₽,"135,00 ₽",,FALSE
Чиабатта,270 ₽,"310,00 ₽",,FALSE
Блины с ветчиной и сыром «МФуд»,285 ₽,"310,00 ₽",,FALSE
Блины с курицей и грибами «МФуд»,285 ₽,"310,00 ₽",,FALSE
Блины с творогом «МФуд»,285 ₽,"310,00 ₽",,FALSE
Сырники «МФуд»,280 ₽,"310,00 ₽",,FALSE
Боул индейка ВК,360 ₽,"400,00 ₽",,FALSE
Боул семга ВК,400 ₽,"450,00 ₽",,FALSE
Онигурадзу семга/ краб/ креветка,370 ₽,"450,00 ₽",,FALSE
Онигурадзу Шеф,400 ₽,"480,00 ₽",,FALSE
Отбивная куриная ВК,350 ₽,"420,00 ₽",,FALSE
Рис индейка терияки ВК,330 ₽,"350,00 ₽","375,00 ₽",TRUE
Ролл Индейка ВК,300 ₽,"330,00 ₽",,FALSE
Ролл креветка ВК,350 ₽,"380,00 ₽",,FALSE
Ролл Курица ВК,290 ₽,"330,00 ₽",,FALSE
Салат Баклажан,270 ₽,"350,00 ₽",,FALSE
Салат Цезарь,300 ₽,"350,00 ₽",,FALSE
Сэндвич,300 ₽,"350,00 ₽",,FALSE
,,,,FALSE
 Д Е С Е Р Т Ы,,,,
Орешки Сгущёнка,180 ₽,"190,00 ₽",,FALSE
Трубочка со сгущенкой,150 ₽,"175,00 ₽",,FALSE
Булочка с Вишней / Абрикосом,90 ₽,,,FALSE
Булочка с корицей,75 ₽,,,FALSE
Маковый пирог / 1 кус.,240 ₽,,,FALSE
Маффин шоколадный,140 ₽,,,FALSE
Творожный / Морковный  КЕКС,120 ₽,"130,00 ₽",,FALSE
Вупи пай,200 ₽,"250,00 ₽",,FALSE
Десерт 300,300 ₽,"350,00 ₽",,FALSE
Макарон,170 ₽,"180,00 ₽",,FALSE
Моти,200 ₽,"220,00 ₽",,FALSE
Муравейник,220 ₽,"250,00 ₽",,FALSE
Печенье овсяное,110 ₽,,,FALSE
Пирожное Шу,200 ₽,"220,00 ₽",,FALSE
Тарталетка Лимон,200 ₽,"220,00 ₽",,FALSE
Тарталетка Орех,240 ₽,"270,00 ₽",,FALSE
Тарталетка с клубникой,250 ₽,"300,00 ₽",,FALSE
Тыквенный пирог,250 ₽,"270,00 ₽",,FALSE
Чизкейк МАРАКУЙЯ,350 ₽,,,FALSE
Пряник на палочке,120 ₽,"135,00 ₽",,FALSE
Пряник Новогодний,180 ₽,,,FALSE
Пряник раскраска,300 ₽,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
